date,Apache_cume,Apache
2020-12-08 00:00:00,1,
2020-12-17 00:00:00,3,2
2020-12-21 00:00:00,5,2
2020-12-22 00:00:00,7,2
2020-12-23 00:00:00,51,44
2020-12-24 00:00:00,52,1
2020-12-26 00:00:00,54,2
2020-12-28 00:00:00,105,51
2020-12-29 00:00:00,162,57
2020-12-30 00:00:00,231,69
2020-12-31 00:00:00,237,6
2021-01-04 00:00:00,246,9
2021-01-05 00:00:00,304,58
2021-01-06 00:00:00,429,125
2021-01-07 00:00:00,656,227
2021-01-08 00:00:00,707,51
2021-01-09 00:00:00,717,10
2021-01-11 00:00:00,805,88
2021-01-12 00:00:00,1000,195
2021-01-13 00:00:00,1156,156
2021-01-14 00:00:00,1519,363
2021-01-15 00:00:00,1600,81
2021-01-16 00:00:00,1621,21
2021-01-18 00:00:00,1691,70
2021-01-19 00:00:00,1788,97
2021-01-20 00:00:00,2001,213
2021-01-21 00:00:00,2345,344
2021-01-22 00:00:00,2426,81
2021-01-23 00:00:00,2456,30
2021-01-25 00:00:00,2559,103
2021-01-26 00:00:00,2701,142
2021-01-27 00:00:00,2934,233
2021-01-28 00:00:00,3372,438
2021-01-29 00:00:00,3484,112
2021-01-30 00:00:00,3485,1
2021-01-31 00:00:00,3490,5
2021-02-01 00:00:00,3673,183
2021-02-02 00:00:00,3849,176
2021-02-03 00:00:00,4229,380
2021-02-04 00:00:00,4706,477
2021-02-05 00:00:00,4809,103
2021-02-06 00:00:00,4850,41
2021-02-07 00:00:00,4851,1
2021-02-08 00:00:00,5032,181
2021-02-09 00:00:00,5272,240
2021-02-10 00:00:00,5753,481
2021-02-11 00:00:00,6426,673
2021-02-12 00:00:00,6596,170
2021-02-13 00:00:00,6663,67
2021-02-15 00:00:00,6754,91
2021-02-16 00:00:00,6944,190
2021-02-17 00:00:00,7220,276
2021-02-18 00:00:00,7558,338
2021-02-19 00:00:00,7625,67
2021-02-20 00:00:00,7658,33
2021-02-21 00:00:00,7666,8
2021-02-22 00:00:00,7849,183
2021-02-23 00:00:00,8009,160
2021-02-24 00:00:00,8173,164
2021-02-25 00:00:00,8789,616
2021-02-26 00:00:00,8907,118
2021-02-27 00:00:00,8932,25
2021-02-28 00:00:00,8944,12
2021-03-01 00:00:00,9263,319
2021-03-02 00:00:00,9413,150
2021-03-03 00:00:00,9906,493
2021-03-04 00:00:00,10178,272
2021-03-05 00:00:00,10261,83
2021-03-06 00:00:00,10274,13
2021-03-07 00:00:00,10284,10
2021-03-08 00:00:00,10465,181
2021-03-09 00:00:00,10707,242
2021-03-10 00:00:00,11226,519
2021-03-11 00:00:00,11498,272
2021-03-12 00:00:00,11634,136
2021-03-13 00:00:00,11696,62
2021-03-14 00:00:00,11712,16
2021-03-15 00:00:00,11850,138
2021-03-16 00:00:00,12154,304
2021-03-17 00:00:00,12257,103
2021-03-18 00:00:00,12351,94
2021-03-19 00:00:00,12400,49
2021-03-20 00:00:00,12417,17
2021-03-21 00:00:00,12448,31
2021-03-22 00:00:00,12559,111
2021-03-23 00:00:00,12691,132
2021-03-24 00:00:00,13029,338
2021-03-25 00:00:00,13202,173
2021-03-26 00:00:00,13245,43
2021-03-27 00:00:00,13259,14
2021-03-28 00:00:00,13293,34
2021-03-29 00:00:00,13391,98
2021-03-30 00:00:00,13529,138
2021-03-31 00:00:00,13653,124
2021-04-01 00:00:00,13813,160
2021-04-02 00:00:00,13919,106
2021-04-03 00:00:00,13947,28
2021-04-04 00:00:00,13957,10
2021-04-05 00:00:00,14079,122
2021-04-06 00:00:00,14248,169
2021-04-07 00:00:00,14389,141
2021-04-08 00:00:00,14511,122
2021-04-09 00:00:00,14595,84
2021-04-10 00:00:00,14741,146
2021-04-11 00:00:00,14763,22
2021-04-12 00:00:00,14848,85
2021-04-13 00:00:00,14937,89
2021-04-14 00:00:00,14993,56
2021-04-15 00:00:00,15054,61
2021-04-16 00:00:00,15106,52
2021-04-17 00:00:00,15109,3
