date,pcr_tests_SANTA_CRUZ,pcr_pos_tests_SANTA_CRUZ,pcr_positivity_SANTA_CRUZ,ser_tests_SANTA_CRUZ,ser_pos_tests_SANTA_CRUZ,ser_positivity_SANTA_CRUZ
2021-07-14 00:00:00,17,1,0.0588235294117647,,,
2021-07-13 00:00:00,25,1,0.04,2,1,0.5
2021-07-12 00:00:00,47,6,0.1276595744680851,3,2,0.6666666666666666
2021-07-11 00:00:00,9,1,0.1111111111111111,,,
2021-07-10 00:00:00,13,2,0.1538461538461539,,,
2021-07-09 00:00:00,40,1,0.025,,,
2021-07-08 00:00:00,25,1,0.04,1,0,0
2021-07-07 00:00:00,25,1,0.04,,,
2021-07-06 00:00:00,30,5,0.1666666666666667,,,
2021-07-05 00:00:00,13,2,0.1538461538461539,2,2,1
2021-07-04 00:00:00,6,0,0,,,
2021-07-03 00:00:00,15,0,0,,,
2021-07-02 00:00:00,24,3,0.125,1,1,1
2021-07-01 00:00:00,16,0,0,,,
2021-06-30 00:00:00,21,0,0,8,7,0.875
2021-06-29 00:00:00,30,5,0.1666666666666667,4,3,0.75
2021-06-28 00:00:00,18,1,0.0555555555555556,4,2,0.5
2021-06-27 00:00:00,11,0,0,,,
2021-06-26 00:00:00,16,4,0.25,1,0,0
2021-06-25 00:00:00,28,3,0.1071428571428571,,,
2021-06-24 00:00:00,24,1,0.0416666666666667,1,0,0
2021-06-23 00:00:00,13,0,0,2,2,1
2021-06-22 00:00:00,22,3,0.1363636363636364,2,1,0.5
2021-06-21 00:00:00,21,0,0,2,2,1
2021-06-20 00:00:00,11,2,0.1818181818181818,,,
2021-06-19 00:00:00,14,0,0,,,
2021-06-18 00:00:00,22,1,0.0454545454545455,1,0,0
2021-06-17 00:00:00,21,1,0.0476190476190476,,,
2021-06-16 00:00:00,18,1,0.0555555555555556,1,1,1
2021-06-15 00:00:00,20,3,0.15,,,
2021-06-14 00:00:00,40,1,0.025,4,3,0.75
2021-06-13 00:00:00,3,0,0,,,
