date,Pinal_cume,Pinal
2020-12-07 00:00:00,1,
2020-12-16 00:00:00,2,1
2020-12-17 00:00:00,3,1
2020-12-18 00:00:00,6,3
2020-12-21 00:00:00,32,26
2020-12-22 00:00:00,129,97
2020-12-23 00:00:00,361,232
2020-12-24 00:00:00,398,37
2020-12-26 00:00:00,560,162
2020-12-27 00:00:00,561,1
2020-12-28 00:00:00,902,341
2020-12-29 00:00:00,1436,534
2020-12-30 00:00:00,2171,735
2020-12-31 00:00:00,2841,670
2021-01-01 00:00:00,2861,20
2021-01-02 00:00:00,3158,297
2021-01-03 00:00:00,3188,30
2021-01-04 00:00:00,3753,565
2021-01-05 00:00:00,4449,696
2021-01-06 00:00:00,5143,694
2021-01-07 00:00:00,6018,875
2021-01-08 00:00:00,6966,948
2021-01-09 00:00:00,7936,970
2021-01-10 00:00:00,7958,22
2021-01-11 00:00:00,8404,446
2021-01-12 00:00:00,9016,612
2021-01-13 00:00:00,9818,802
2021-01-14 00:00:00,10796,978
2021-01-15 00:00:00,11693,897
2021-01-16 00:00:00,12766,1073
2021-01-17 00:00:00,12824,58
2021-01-18 00:00:00,13427,603
2021-01-19 00:00:00,14231,804
2021-01-20 00:00:00,15522,1291
2021-01-21 00:00:00,16812,1290
2021-01-22 00:00:00,18222,1410
2021-01-23 00:00:00,20177,1955
2021-01-24 00:00:00,20208,31
2021-01-25 00:00:00,21055,847
2021-01-26 00:00:00,22044,989
2021-01-27 00:00:00,23442,1398
2021-01-28 00:00:00,25016,1574
2021-01-29 00:00:00,26624,1608
2021-01-30 00:00:00,29140,2516
2021-01-31 00:00:00,29256,116
2021-02-01 00:00:00,30703,1447
2021-02-02 00:00:00,32330,1627
2021-02-03 00:00:00,33977,1647
2021-02-04 00:00:00,35672,1695
2021-02-05 00:00:00,37565,1893
2021-02-06 00:00:00,39885,2320
2021-02-07 00:00:00,39959,74
2021-02-08 00:00:00,41594,1635
2021-02-09 00:00:00,43114,1520
2021-02-10 00:00:00,45601,2487
2021-02-11 00:00:00,48308,2707
2021-02-12 00:00:00,51400,3092
2021-02-13 00:00:00,54734,3334
2021-02-14 00:00:00,54852,118
2021-02-15 00:00:00,55900,1048
2021-02-16 00:00:00,57458,1558
2021-02-17 00:00:00,59199,1741
2021-02-18 00:00:00,61031,1832
2021-02-19 00:00:00,62511,1480
2021-02-20 00:00:00,64173,1662
2021-02-21 00:00:00,64224,51
2021-02-22 00:00:00,65132,908
2021-02-23 00:00:00,66348,1216
2021-02-24 00:00:00,68185,1837
2021-02-25 00:00:00,70940,2755
2021-02-26 00:00:00,74094,3154
2021-02-27 00:00:00,77160,3066
2021-02-28 00:00:00,77511,351
2021-03-01 00:00:00,80068,2557
2021-03-02 00:00:00,82859,2791
2021-03-03 00:00:00,86303,3444
2021-03-04 00:00:00,89631,3328
2021-03-05 00:00:00,92233,2602
2021-03-06 00:00:00,95334,3101
2021-03-07 00:00:00,95648,314
2021-03-08 00:00:00,98024,2376
2021-03-09 00:00:00,100404,2380
2021-03-10 00:00:00,103185,2781
2021-03-11 00:00:00,107122,3937
2021-03-12 00:00:00,110176,3054
2021-03-13 00:00:00,112662,2486
2021-03-14 00:00:00,112936,274
2021-03-15 00:00:00,115098,2162
2021-03-16 00:00:00,117712,2614
2021-03-17 00:00:00,120436,2724
2021-03-18 00:00:00,123333,2897
2021-03-19 00:00:00,125463,2130
2021-03-20 00:00:00,125906,443
2021-03-21 00:00:00,126242,336
2021-03-22 00:00:00,127879,1637
2021-03-23 00:00:00,129898,2019
2021-03-24 00:00:00,132494,2596
2021-03-25 00:00:00,134684,2190
2021-03-26 00:00:00,137618,2934
2021-03-27 00:00:00,138590,972
2021-03-28 00:00:00,139588,998
2021-03-29 00:00:00,141349,1761
2021-03-30 00:00:00,142276,927
