date,20-34_Greenlee,35-44_Greenlee,45-54_Greenlee,55-64_Greenlee,65+_Greenlee,<20_Greenlee
1/1/2021,15,18,26,21,36,
1/10/2021,22,23,38,34,88,1
1/11/2021,22,23,38,34,88,1
1/12/2021,25,29,43,40,105,1
1/13/2021,28,35,44,43,133,1
1/14/2021,36,42,59,66,143,1
1/15/2021,39,43,63,68,148,1
1/16/2021,39,43,63,68,149,1
1/17/2021,39,43,63,68,149,1
1/18/2021,42,44,64,72,156,1
1/19/2021,46,45,66,72,173,1
1/2/2021,15,18,26,21,36,
1/20/2021,47,48,68,75,190,1
1/21/2021,64,68,98,103,330,1
1/22/2021,77,91,119,132,419,1
1/23/2021,123,147,154,198,567,1
1/24/2021,125,148,156,200,567,1
1/25/2021,134,160,167,207,571,1
1/26/2021,135,160,167,207,572,1
1/27/2021,152,172,177,223,585,1
1/28/2021,202,212,221,276,624,5
1/29/2021,227,238,242,298,642,5
1/3/2021,15,18,26,21,36,
1/30/2021,227,239,242,298,643,5
1/31/2021,227,239,242,298,643,5
1/4/2021,15,18,26,21,36,1
1/5/2021,18,18,28,22,51,1
1/6/2021,19,19,30,26,58,1
1/7/2021,21,22,35,32,80,1
1/8/2021,22,23,38,34,88,1
1/9/2021,22,23,38,34,88,1
10/1/2021,749,680,624,675,1006,279
10/10/2021,760,686,624,677,1008,282
10/11/2021,763,686,624,677,1008,282
10/12/2021,765,687,624,677,1008,282
10/13/2021,767,688,624,677,1008,282
10/14/2021,770,688,624,677,1008,283
10/15/2021,773,689,624,677,1008,285
10/16/2021,774,689,624,677,1008,285
10/17/2021,774,689,624,677,1008,285
10/18/2021,776,690,626,677,1009,285
10/19/2021,776,691,626,678,1009,285
10/2/2021,749,680,624,675,1007,279
10/20/2021,777,691,626,680,1009,285
10/21/2021,778,691,626,680,1009,285
10/22/2021,780,692,628,680,1009,285
10/23/2021,780,692,628,680,1009,285
10/24/2021,780,692,628,680,1009,285
10/25/2021,782,692,628,680,1009,285
10/26/2021,782,692,628,680,1009,287
10/27/2021,783,692,629,680,1009,287
10/28/2021,784,692,630,680,1009,289
10/29/2021,784,693,631,680,1009,290
10/3/2021,749,680,624,675,1007,279
10/30/2021,784,693,631,680,1009,290
10/31/2021,784,693,631,680,1009,290
10/4/2021,751,681,624,675,1007,281
10/5/2021,751,683,624,675,1007,281
10/6/2021,753,684,624,675,1007,281
10/7/2021,756,685,624,677,1008,281
10/8/2021,760,686,624,677,1008,282
10/9/2021,760,686,624,677,1008,282
11/1/2021,784,693,631,680,1010,292
11/10/2021,788,695,635,682,1014,298
11/11/2021,790,696,636,682,1014,299
11/12/2021,795,697,638,682,1014,325
11/13/2021,795,697,638,682,1014,326
11/14/2021,795,697,638,682,1014,326
11/15/2021,795,697,638,682,1015,326
11/16/2021,795,697,639,682,1016,327
11/17/2021,795,697,639,682,1016,329
11/18/2021,795,698,639,682,1016,329
11/19/2021,796,698,639,682,1016,332
11/2/2021,785,694,631,680,1010,292
11/20/2021,796,698,639,682,1016,332
11/21/2021,796,698,639,682,1016,332
11/22/2021,796,699,641,682,1017,332
11/23/2021,796,700,641,682,1017,332
11/24/2021,797,700,641,682,1017,335
11/25/2021,797,700,641,682,1017,335
11/26/2021,797,700,641,683,1017,335
11/27/2021,798,700,642,683,1018,362
11/28/2021,798,700,642,683,1018,362
11/29/2021,798,700,642,683,1018,364
11/3/2021,785,694,631,680,1011,292
11/30/2021,801,702,642,683,1018,373
11/4/2021,788,694,631,681,1011,293
11/5/2021,788,694,631,681,1012,295
11/6/2021,788,694,631,681,1012,295
11/7/2021,788,694,631,681,1012,295
11/8/2021,788,695,631,682,1014,295
11/9/2021,788,695,635,682,1014,298
12/1/2021,802,704,642,683,1020,375
12/10/2021,817,717,648,684,1023,417
12/18/2020,,,2,,,
12/19/2020,,,2,,,
12/2/2021,805,707,643,683,1020,377
12/20/2020,,,2,,,
12/21/2020,3,5,6,1,,
12/22/2020,6,7,16,10,2,
12/23/2020,8,9,16,11,4,
12/24/2020,8,10,16,12,6,
12/25/2020,8,10,16,12,6,
12/26/2020,8,11,16,12,6,
12/27/2020,8,11,16,12,6,
12/28/2020,8,13,16,12,6,
12/29/2020,9,14,19,13,8,
12/3/2021,811,710,644,683,1020,398
12/30/2020,11,14,19,13,27,
12/31/2020,14,18,26,21,35,
12/4/2021,811,710,644,683,1020,398
12/5/2021,811,710,644,683,1020,399
12/6/2021,811,712,644,683,1020,401
12/7/2021,813,713,645,683,1020,404
12/8/2021,814,714,646,683,1022,405
12/9/2021,817,717,648,684,1023,407
2/1/2021,228,239,247,298,646,5
2/10/2021,296,293,314,385,741,11
2/11/2021,307,313,323,395,758,13
2/12/2021,332,335,345,426,799,18
2/13/2021,332,335,346,426,803,18
2/14/2021,332,335,346,426,803,18
2/15/2021,333,337,348,429,803,18
2/16/2021,340,343,359,433,806,19
2/17/2021,341,343,361,435,814,20
