date,Yavapai_cume,Yavapai
1/1/2021,1,
1/10/2021,2,1
1/11/2021,3,1
1/12/2021,5,2
1/13/2021,376,371
1/14/2021,807,431
1/15/2021,818,11
1/16/2021,824,6
1/17/2021,829,5
1/18/2021,834,5
1/19/2021,845,11
1/2/2021,1060,215
1/20/2021,1767,707
1/21/2021,1967,200
1/22/2021,1974,7
1/23/2021,2096,122
1/24/2021,2097,1
1/25/2021,2132,35
1/26/2021,2180,48
1/27/2021,2221,41
1/28/2021,2856,635
1/29/2021,3557,701
1/3/2021,3753,196
1/30/2021,3754,1
1/31/2021,3830,76
1/4/2021,4021,191
1/5/2021,4524,503
1/6/2021,4823,299
1/7/2021,4910,87
1/8/2021,5239,329
1/9/2021,5242,3
12/1/2020,5532,290
12/18/2020,6411,879
12/19/2020,7394,983
12/22/2020,8840,1446
12/23/2020,10556,1716
12/24/2020,12058,1502
12/25/2020,13423,1365
12/26/2020,14346,923
12/27/2020,14973,627
12/28/2020,16853,1880
12/29/2020,19012,2159
12/30/2020,20946,1934
12/31/2020,21950,1004
12/6/2020,22921,971
2/1/2021,25110,2189
2/10/2021,27457,2347
2/11/2021,30050,2593
2/12/2021,32025,1975
2/13/2021,33927,1902
2/14/2021,35176,1249
2/15/2021,36206,1030
2/16/2021,37905,1699
2/17/2021,39629,1724
2/18/2021,41967,2338
2/19/2021,43681,1714
2/2/2021,45211,1530
2/20/2021,46513,1302
2/21/2021,47524,1011
2/22/2021,48419,895
2/23/2021,50136,1717
2/24/2021,51059,923
2/25/2021,51578,519
2/26/2021,52096,518
2/27/2021,52333,237
2/28/2021,52520,187
2/3/2021,52733,213
2/4/2021,54279,1546
2/5/2021,57501,3222
2/6/2021,60477,2976
2/7/2021,63822,3345
2/8/2021,64974,1152
2/9/2021,66143,1169
3/1/2021,69015,2872
3/10/2021,71401,2386
3/11/2021,74124,2723
3/12/2021,75831,1707
3/13/2021,77884,2053
3/14/2021,79483,1599
3/15/2021,81036,1553
3/16/2021,83666,2630
3/17/2021,86632,2966
3/18/2021,89578,2946
3/19/2021,91662,2084
3/2/2021,93522,1860
3/20/2021,95227,1705
3/21/2021,96942,1715
3/22/2021,99072,2130
3/23/2021,101412,2340
3/24/2021,103247,1835
3/25/2021,104443,1196
3/26/2021,105618,1175
3/27/2021,106604,986
3/28/2021,106862,258
3/29/2021,108010,1148
3/3/2021,109074,1064
3/30/2021,110400,1326
3/31/2021,111864,1464
3/4/2021,113362,1498
3/5/2021,114325,963
3/6/2021,114563,238
3/7/2021,115655,1092
3/8/2021,116807,1152
3/9/2021,118104,1297
4/1/2021,119832,1728
4/10/2021,121602,1770
4/11/2021,122710,1108
4/12/2021,123106,396
4/13/2021,124644,1538
4/14/2021,126389,1745
4/15/2021,128020,1631
4/16/2021,130107,2087
4/17/2021,132390,2283
4/18/2021,133354,964
4/19/2021,134078,724
4/2/2021,135424,1346
4/20/2021,136281,857
4/21/2021,137951,1670
4/22/2021,139702,1751
4/23/2021,141333,1631
4/24/2021,143107,1774
4/25/2021,143959,852
4/26/2021,145656,1697
4/27/2021,146570,914
4/28/2021,148046,1476
4/29/2021,149678,1632
4/3/2021,151392,1714
4/30/2021,152876,1484
4/4/2021,153520,644
4/5/2021,154864,1344
4/6/2021,155818,954
4/7/2021,157009,1191
4/8/2021,157879,870
4/9/2021,159031,1152
5/1/2021,159707,676
5/10/2021,160016,309
5/11/2021,160796,780
5/12/2021,161399,603
5/13/2021,162011,612
5/14/2021,162556,545
5/15/2021,163161,605
5/16/2021,163616,455
5/17/2021,163745,129
5/18/2021,164330,585
5/19/2021,164845,515
5/2/2021,165501,656
5/20/2021,166017,516
5/21/2021,166739,722
5/22/2021,167151,412
5/23/2021,167312,161
5/24/2021,167714,402
5/25/2021,168190,476
5/26/2021,168689,499
5/27/2021,169311,622
5/28/2021,169813,502
5/29/2021,170043,230
5/3/2021,170180,137
5/30/2021,170529,349
5/31/2021,170891,362
5/4/2021,171305,414
5/5/2021,171621,316
5/6/2021,172019,398
5/7/2021,172196,177
5/8/2021,172404,208
5/9/2021,172485,81
6/1/2021,172848,363
6/10/2021,173209,361
6/11/2021,173549,340
6/12/2021,173971,422
