date,Navajo_cume,Navajo
2020-12-02 00:00:00,1,
2020-12-04 00:00:00,2,1
2020-12-14 00:00:00,3,1
2020-12-15 00:00:00,4,1
2020-12-16 00:00:00,11,7
2020-12-17 00:00:00,26,15
2020-12-18 00:00:00,54,28
2020-12-20 00:00:00,55,1
2020-12-21 00:00:00,60,5
2020-12-22 00:00:00,152,92
2020-12-23 00:00:00,327,175
2020-12-24 00:00:00,431,104
2020-12-28 00:00:00,794,363
2020-12-29 00:00:00,1097,303
2020-12-30 00:00:00,1383,286
2020-12-31 00:00:00,1668,285
2021-01-01 00:00:00,1754,86
2021-01-02 00:00:00,1755,1
2021-01-03 00:00:00,1756,1
2021-01-04 00:00:00,1985,229
2021-01-05 00:00:00,2302,317
2021-01-06 00:00:00,2679,377
2021-01-07 00:00:00,3325,646
2021-01-08 00:00:00,3668,343
2021-01-09 00:00:00,3669,1
2021-01-11 00:00:00,4094,425
2021-01-12 00:00:00,4547,453
2021-01-13 00:00:00,4844,297
2021-01-14 00:00:00,5235,391
2021-01-15 00:00:00,5555,320
2021-01-16 00:00:00,5559,4
2021-01-18 00:00:00,5744,185
2021-01-19 00:00:00,6196,452
2021-01-20 00:00:00,6700,504
2021-01-21 00:00:00,7363,663
2021-01-22 00:00:00,7774,411
2021-01-23 00:00:00,8026,252
2021-01-24 00:00:00,8048,22
2021-01-25 00:00:00,8520,472
2021-01-26 00:00:00,8966,446
2021-01-27 00:00:00,9593,627
2021-01-28 00:00:00,10587,994
2021-01-29 00:00:00,11149,562
2021-01-30 00:00:00,11292,143
2021-01-31 00:00:00,11294,2
2021-02-01 00:00:00,11884,590
2021-02-02 00:00:00,12510,626
2021-02-03 00:00:00,13527,1017
2021-02-04 00:00:00,14317,790
2021-02-05 00:00:00,14742,425
2021-02-06 00:00:00,14924,182
2021-02-07 00:00:00,14926,2
2021-02-08 00:00:00,15585,659
2021-02-09 00:00:00,16443,858
2021-02-10 00:00:00,17134,691
2021-02-11 00:00:00,18088,954
2021-02-12 00:00:00,18897,809
2021-02-13 00:00:00,19027,130
2021-02-14 00:00:00,19080,53
2021-02-15 00:00:00,19278,198
2021-02-16 00:00:00,20142,864
2021-02-17 00:00:00,21073,931
2021-02-18 00:00:00,21764,691
2021-02-19 00:00:00,22143,379
2021-02-20 00:00:00,22197,54
2021-02-21 00:00:00,22224,27
2021-02-22 00:00:00,22545,321
2021-02-23 00:00:00,23066,521
2021-02-24 00:00:00,23558,492
2021-02-25 00:00:00,24400,842
2021-02-26 00:00:00,25003,603
2021-02-27 00:00:00,25405,402
2021-02-28 00:00:00,25431,26
2021-03-01 00:00:00,25919,488
2021-03-02 00:00:00,26396,477
2021-03-03 00:00:00,27182,786
2021-03-04 00:00:00,27932,750
2021-03-05 00:00:00,28189,257
2021-03-06 00:00:00,28407,218
2021-03-07 00:00:00,28442,35
2021-03-08 00:00:00,28787,345
2021-03-09 00:00:00,29179,392
2021-03-10 00:00:00,29994,815
2021-03-11 00:00:00,30954,960
2021-03-12 00:00:00,31571,617
2021-03-13 00:00:00,31734,163
2021-03-14 00:00:00,31802,68
2021-03-15 00:00:00,32386,584
2021-03-16 00:00:00,32904,518
2021-03-17 00:00:00,33592,688
2021-03-18 00:00:00,34580,988
2021-03-19 00:00:00,34989,409
2021-03-20 00:00:00,35078,89
2021-03-21 00:00:00,35148,70
2021-03-22 00:00:00,35545,397
2021-03-23 00:00:00,36248,703
2021-03-24 00:00:00,37093,845
2021-03-25 00:00:00,38016,923
2021-03-26 00:00:00,38622,606
2021-03-27 00:00:00,38786,164
2021-03-28 00:00:00,38848,62
2021-03-29 00:00:00,39330,482
2021-03-30 00:00:00,39662,332
2021-03-31 00:00:00,40565,903
2021-04-01 00:00:00,40963,398
2021-04-02 00:00:00,41298,335
2021-04-03 00:00:00,41497,199
2021-04-04 00:00:00,41535,38
2021-04-05 00:00:00,41902,367
2021-04-06 00:00:00,42250,348
2021-04-07 00:00:00,42585,335
2021-04-08 00:00:00,43340,755
2021-04-09 00:00:00,43651,311
2021-04-10 00:00:00,43850,199
2021-04-11 00:00:00,43938,88
2021-04-12 00:00:00,44590,652
2021-04-13 00:00:00,44888,298
2021-04-14 00:00:00,45323,435
2021-04-15 00:00:00,45901,578
2021-04-16 00:00:00,46216,315
2021-04-17 00:00:00,46308,92
2021-04-18 00:00:00,46362,54
2021-04-19 00:00:00,46769,407
2021-04-20 00:00:00,47110,341
2021-04-21 00:00:00,47523,413
2021-04-22 00:00:00,47892,369
2021-04-23 00:00:00,48135,243
2021-04-24 00:00:00,48288,153
2021-04-25 00:00:00,48320,32
2021-04-26 00:00:00,48630,310
2021-04-27 00:00:00,48845,215
2021-04-28 00:00:00,49122,277
2021-04-29 00:00:00,49446,324
2021-04-30 00:00:00,49675,229
2021-05-01 00:00:00,49748,73
2021-05-02 00:00:00,49775,27
2021-05-03 00:00:00,49982,207
2021-05-04 00:00:00,50207,225
2021-05-05 00:00:00,50351,144
2021-05-06 00:00:00,50707,356
2021-05-07 00:00:00,50850,143
2021-05-08 00:00:00,50911,61
2021-05-09 00:00:00,50931,20
2021-05-10 00:00:00,51235,304
2021-05-11 00:00:00,51360,125
2021-05-12 00:00:00,51501,141
2021-05-13 00:00:00,51786,285
2021-05-14 00:00:00,52238,452
2021-05-15 00:00:00,52292,54
2021-05-16 00:00:00,52347,55
2021-05-17 00:00:00,52757,410
2021-05-18 00:00:00,53093,336
2021-05-19 00:00:00,53449,356
2021-05-20 00:00:00,53926,477
2021-05-21 00:00:00,54189,263
2021-05-22 00:00:00,54617,428
2021-05-23 00:00:00,54674,57
2021-05-24 00:00:00,54885,211
2021-05-25 00:00:00,55114,229
2021-05-26 00:00:00,55314,200
2021-05-27 00:00:00,55527,213
2021-05-28 00:00:00,55662,135
2021-05-29 00:00:00,55710,48
2021-05-30 00:00:00,55737,27
2021-05-31 00:00:00,55769,32
2021-06-01 00:00:00,55982,213
2021-06-02 00:00:00,56086,104
2021-06-03 00:00:00,56308,222
2021-06-04 00:00:00,56619,311
2021-06-05 00:00:00,56642,23
2021-06-06 00:00:00,56681,39
2021-06-07 00:00:00,56888,207
2021-06-08 00:00:00,57084,196
2021-06-09 00:00:00,57451,367
2021-06-10 00:00:00,57702,251
2021-06-11 00:00:00,57926,224
2021-06-12 00:00:00,58221,295
2021-06-13 00:00:00,58240,19
2021-06-14 00:00:00,58437,197
2021-06-15 00:00:00,58681,244
2021-06-16 00:00:00,58878,197
2021-06-17 00:00:00,59039,161
2021-06-18 00:00:00,59172,133
2021-06-19 00:00:00,59207,35
2021-06-20 00:00:00,59241,34
2021-06-21 00:00:00,59364,123
2021-06-22 00:00:00,59565,201
2021-06-23 00:00:00,59689,124
2021-06-24 00:00:00,59834,145
2021-06-25 00:00:00,59941,107
2021-06-26 00:00:00,59966,25
2021-06-27 00:00:00,59980,14
2021-06-28 00:00:00,60077,97
2021-06-29 00:00:00,60230,153
2021-06-30 00:00:00,60368,138
2021-07-01 00:00:00,60488,120
2021-07-02 00:00:00,60580,92
2021-07-03 00:00:00,60593,13
2021-07-04 00:00:00,60602,9
2021-07-05 00:00:00,60650,48
2021-07-06 00:00:00,60788,138
2021-07-07 00:00:00,60905,117
2021-07-08 00:00:00,61064,159
2021-07-09 00:00:00,61203,139
2021-07-10 00:00:00,61220,17
2021-07-11 00:00:00,61233,13
2021-07-12 00:00:00,61353,120
2021-07-13 00:00:00,61458,105
2021-07-14 00:00:00,61539,81
2021-07-15 00:00:00,61600,61
2021-07-16 00:00:00,61676,76
2021-07-17 00:00:00,61706,30
2021-07-18 00:00:00,61713,7
