date,hospitalizations
2020-08-14,1
2020-08-13,11
2020-08-12,30
2020-08-11,104
2020-08-10,112
2020-08-09,74
2020-08-08,84
2020-08-07,110
2020-08-06,129
2020-08-05,145
2020-08-04,172
2020-08-03,196
2020-08-02,136
2020-08-01,82
2020-07-31,182
2020-07-30,209
2020-07-29,183
2020-07-28,273
2020-07-27,326
2020-07-26,177
2020-07-25,237
2020-07-24,299
2020-07-23,340
2020-07-22,319
2020-07-21,337
2020-07-20,393
2020-07-19,283
2020-07-18,320
2020-07-17,373
2020-07-16,448
2020-07-15,556
2020-07-14,589
2020-07-13,587
2020-07-12,351
2020-07-11,447
2020-07-10,394
2020-07-09,327
2020-07-08,281
2020-07-07,287
2020-07-06,319
2020-07-05,294
2020-07-04,271
2020-07-03,274
2020-07-02,293
2020-07-01,311
2020-06-30,312
2020-06-29,288
2020-06-28,229
2020-06-27,237
2020-06-26,260
2020-06-25,262
2020-06-24,238
2020-06-23,239
2020-06-22,246
2020-06-21,205
2020-06-20,183
2020-06-19,224
2020-06-18,186
2020-06-17,169
2020-06-16,169
2020-06-15,192
2020-06-14,135
2020-06-13,143
2020-06-12,134
2020-06-11,130
2020-06-10,121
2020-06-09,136
2020-06-08,139
2020-06-07,109
2020-06-06,104
2020-06-05,102
2020-06-04,92
2020-06-03,105
2020-06-02,108
2020-06-01,111
2020-05-31,66
2020-05-30,70
2020-05-29,76
2020-05-28,72
2020-05-27,80
2020-05-26,76
2020-05-25,72
2020-05-24,63
2020-05-23,64
2020-05-22,75
2020-05-21,68
2020-05-20,62
2020-05-19,49
2020-05-18,70
2020-05-17,45
2020-05-16,50
2020-05-15,53
2020-05-14,70
2020-05-13,52
2020-05-12,58
2020-05-11,51
2020-05-10,37
2020-05-09,43
2020-05-08,62
2020-05-07,46
2020-05-06,56
2020-05-05,60
2020-05-04,51
2020-05-03,55
2020-05-02,46
2020-05-01,52
2020-04-30,56
2020-04-29,63
2020-04-28,51
2020-04-27,60
2020-04-26,44
2020-04-25,48
2020-04-24,55
2020-04-23,46
2020-04-22,45
2020-04-21,31
2020-04-20,69
2020-04-19,48
2020-04-18,51
2020-04-17,31
2020-04-16,44
2020-04-15,43
2020-04-14,50
2020-04-13,48
2020-04-12,39
2020-04-11,43
2020-04-10,46
2020-04-09,44
2020-04-08,54
2020-04-07,34
2020-04-06,59
2020-04-05,49
2020-04-04,44
2020-04-03,51
2020-04-02,34
2020-04-01,48
2020-03-31,55
2020-03-30,52
2020-03-29,41
2020-03-28,45
2020-03-27,40
2020-03-26,39
2020-03-25,45
2020-03-24,30
2020-03-23,45
2020-03-22,17
2020-03-21,20
2020-03-20,22
2020-03-19,18
2020-03-18,12
2020-03-17,13
2020-03-16,6
2020-03-15,10
2020-03-14,4
2020-03-13,6
2020-03-12,5
2020-03-11,3
2020-03-09,3
2020-03-08,1
2020-03-06,1
2020-03-05,1
2020-03-04,1
2020-03-03,1
2020-02-28,1
2020-02-21,1
