date,Coconino_cume,Coconino
1/1/2021,1,
1/10/2021,2,1
1/11/2021,3,1
1/12/2021,4,1
1/13/2021,5,1
1/14/2021,6,1
1/15/2021,11,5
1/16/2021,155,144
1/17/2021,295,140
1/18/2021,509,214
1/19/2021,557,48
1/2/2021,559,2
1/20/2021,562,3
1/21/2021,599,37
1/22/2021,934,335
1/23/2021,1322,388
1/24/2021,1444,122
1/25/2021,1543,99
1/26/2021,1635,92
1/27/2021,1859,224
1/28/2021,2211,352
1/29/2021,2625,414
1/3/2021,2840,215
1/30/2021,2953,113
1/31/2021,3019,66
1/4/2021,3026,7
1/5/2021,3378,352
1/6/2021,3747,369
1/7/2021,4259,512
1/8/2021,4841,582
1/9/2021,5480,639
12/1/2020,5560,80
12/10/2020,5566,6
12/12/2020,5899,333
12/13/2020,6467,568
12/15/2020,6981,514
12/16/2020,7627,646
12/17/2020,8809,1182
12/18/2020,8912,103
12/19/2020,8914,2
12/2/2020,9093,179
12/20/2020,9505,412
12/21/2020,11056,1551
12/22/2020,11944,888
12/23/2020,12847,903
12/24/2020,13250,403
12/25/2020,13269,19
12/26/2020,13829,560
12/27/2020,14341,512
12/28/2020,15663,1322
12/29/2020,16904,1241
12/30/2020,17831,927
12/31/2020,18166,335
12/4/2020,18197,31
2/1/2021,19086,889
2/10/2021,19963,877
2/11/2021,21642,1679
2/12/2021,23716,2074
2/13/2021,25956,2240
2/14/2021,27538,1582
2/15/2021,27579,41
2/16/2021,28473,894
2/17/2021,29390,917
2/18/2021,32007,2617
2/19/2021,33641,1634
2/2/2021,36393,2752
2/20/2021,37906,1513
2/21/2021,37938,32
2/22/2021,39151,1213
2/23/2021,40780,1629
2/24/2021,43595,2815
2/25/2021,44735,1140
2/26/2021,46086,1351
2/27/2021,47143,1057
2/28/2021,47159,16
2/3/2021,47558,399
2/4/2021,48103,545
2/5/2021,50080,1977
2/6/2021,51765,1685
2/7/2021,53495,1730
2/8/2021,55167,1672
2/9/2021,55262,95
3/1/2021,56871,1609
3/10/2021,58685,1814
3/11/2021,60458,1773
3/12/2021,62664,2206
3/13/2021,64427,1763
3/14/2021,65282,855
3/15/2021,65379,97
3/16/2021,66346,967
3/17/2021,67266,920
3/18/2021,70141,2875
3/19/2021,72083,1942
3/2/2021,74670,2587
3/20/2021,75819,1149
3/21/2021,75877,58
3/22/2021,77221,1344
3/23/2021,79142,1921
3/24/2021,80937,1795
3/25/2021,82437,1500
3/26/2021,84073,1636
3/27/2021,85118,1045
3/28/2021,85200,82
3/29/2021,85946,746
3/3/2021,87825,1879
3/30/2021,89578,1753
3/31/2021,91561,1983
3/4/2021,93778,2217
3/5/2021,94341,563
3/6/2021,94492,151
3/7/2021,96312,1820
3/8/2021,98162,1850
3/9/2021,100010,1848
4/1/2021,101433,1423
4/10/2021,102964,1531
4/11/2021,103530,566
4/12/2021,103629,99
4/13/2021,104505,876
4/14/2021,105844,1339
4/15/2021,106907,1063
4/16/2021,108186,1279
4/17/2021,109464,1278
4/18/2021,110063,599
4/19/2021,110166,103
4/2/2021,110708,542
4/20/2021,111741,1033
4/21/2021,112643,902
4/22/2021,113569,926
4/23/2021,114729,1160
4/24/2021,115080,351
4/25/2021,115183,103
4/26/2021,116204,1021
4/27/2021,117214,1010
4/28/2021,118035,821
4/29/2021,119091,1056
4/3/2021,120233,1142
4/30/2021,120538,305
4/4/2021,120686,148
4/5/2021,121265,579
4/6/2021,122290,1025
4/7/2021,123066,776
4/8/2021,123838,772
4/9/2021,124603,765
5/1/2021,125001,398
5/10/2021,125060,59
5/11/2021,125529,469
5/12/2021,126059,530
5/13/2021,126584,525
5/14/2021,127002,418
5/15/2021,127547,545
5/16/2021,127768,221
5/17/2021,127849,81
5/18/2021,128202,353
5/19/2021,128468,266
5/2/2021,128851,383
5/20/2021,129463,612
5/21/2021,130190,727
5/22/2021,130503,313
5/23/2021,130608,105
5/24/2021,131068,460
5/25/2021,131383,315
5/26/2021,131851,468
5/27/2021,132191,340
5/28/2021,132666,475
5/29/2021,132970,304
5/3/2021,133063,93
5/30/2021,133340,277
5/31/2021,133584,244
5/4/2021,134018,434
5/5/2021,134269,251
5/6/2021,134619,350
5/7/2021,134734,115
