Category,value
Apache,509
Cochise,388
Coconino,383
Gila,277
Graham,131
Greenlee,22
La Paz,102
Maricopa,"12,742"
Mohave,"1,044"
Navajo,675
Pima,"2,883"
Pinal,"1,163"
Santa Cruz,196
Yavapai,787
Yuma,927
Female,9170
Male,13046
20-44y,1193
45-54y,1704
55-64y,3459
65+,15823
<20y,50
"White, non-Hispanic",11415
Hispanic or Latino,6182
"American Indian or Alaska Native, non-Hispanic",1696
"Black or African American, non-Hispanic",684
"Asian or Pacific Islander, non-Hispanic",278
Other Race,619
Unknown,1355
