date,Cochise_cume,Cochise
2020-12-16 00:00:00,1,
2020-12-17 00:00:00,57,56
2020-12-18 00:00:00,195,138
2020-12-19 00:00:00,269,74
2020-12-20 00:00:00,305,36
2020-12-21 00:00:00,643,338
2020-12-22 00:00:00,1095,452
2020-12-23 00:00:00,1542,447
2020-12-24 00:00:00,1669,127
2020-12-25 00:00:00,1670,1
2020-12-26 00:00:00,1692,22
2020-12-28 00:00:00,1797,105
2020-12-29 00:00:00,1874,77
2020-12-30 00:00:00,2091,217
2020-12-31 00:00:00,2307,216
2021-01-01 00:00:00,2312,5
2021-01-02 00:00:00,2313,1
2021-01-03 00:00:00,2315,2
2021-01-04 00:00:00,2371,56
2021-01-05 00:00:00,2456,85
2021-01-06 00:00:00,2564,108
2021-01-07 00:00:00,2628,64
2021-01-08 00:00:00,2789,161
2021-01-09 00:00:00,3161,372
2021-01-10 00:00:00,3163,2
2021-01-11 00:00:00,3527,364
2021-01-12 00:00:00,3778,251
2021-01-13 00:00:00,4207,429
2021-01-14 00:00:00,4535,328
2021-01-15 00:00:00,5002,467
2021-01-16 00:00:00,5400,398
2021-01-17 00:00:00,5416,16
2021-01-18 00:00:00,5658,242
2021-01-19 00:00:00,6093,435
2021-01-20 00:00:00,6797,704
2021-01-21 00:00:00,7450,653
2021-01-22 00:00:00,7782,332
2021-01-23 00:00:00,8348,566
2021-01-24 00:00:00,8459,111
2021-01-25 00:00:00,8900,441
2021-01-26 00:00:00,9379,479
2021-01-27 00:00:00,10163,784
2021-01-28 00:00:00,11182,1019
2021-01-29 00:00:00,11873,691
2021-01-30 00:00:00,11894,21
2021-01-31 00:00:00,11907,13
2021-02-01 00:00:00,12173,266
2021-02-02 00:00:00,12391,218
2021-02-03 00:00:00,12950,559
2021-02-04 00:00:00,13356,406
2021-02-05 00:00:00,13832,476
2021-02-06 00:00:00,13994,162
2021-02-07 00:00:00,14005,11
2021-02-08 00:00:00,14531,526
2021-02-09 00:00:00,15361,830
2021-02-10 00:00:00,16738,1377
2021-02-11 00:00:00,18694,1956
2021-02-12 00:00:00,20086,1392
2021-02-13 00:00:00,20428,342
2021-02-14 00:00:00,20439,11
2021-02-15 00:00:00,20847,408
2021-02-16 00:00:00,21534,687
2021-02-17 00:00:00,22054,520
2021-02-18 00:00:00,22739,685
2021-02-19 00:00:00,23114,375
2021-02-20 00:00:00,23462,348
2021-02-21 00:00:00,23577,115
2021-02-22 00:00:00,23846,269
2021-02-23 00:00:00,24079,233
2021-02-24 00:00:00,24988,909
2021-02-25 00:00:00,27068,2080
2021-02-26 00:00:00,28537,1469
2021-02-27 00:00:00,29426,889
2021-02-28 00:00:00,29453,27
2021-03-01 00:00:00,29961,508
2021-03-02 00:00:00,30480,519
2021-03-03 00:00:00,31673,1193
2021-03-04 00:00:00,33311,1638
2021-03-05 00:00:00,34378,1067
2021-03-06 00:00:00,35395,1017
2021-03-07 00:00:00,35445,50
2021-03-08 00:00:00,35995,550
2021-03-09 00:00:00,36956,961
2021-03-10 00:00:00,38552,1596
2021-03-11 00:00:00,40621,2069
2021-03-12 00:00:00,42178,1557
2021-03-13 00:00:00,42991,813
2021-03-14 00:00:00,43018,27
2021-03-15 00:00:00,43944,926
2021-03-16 00:00:00,44870,926
2021-03-17 00:00:00,45832,962
2021-03-18 00:00:00,47177,1345
2021-03-19 00:00:00,48188,1011
2021-03-20 00:00:00,49092,904
2021-03-21 00:00:00,49125,33
2021-03-22 00:00:00,49680,555
2021-03-23 00:00:00,50048,368
2021-03-24 00:00:00,51041,993
2021-03-25 00:00:00,53438,2397
2021-03-26 00:00:00,54940,1502
2021-03-27 00:00:00,55974,1034
2021-03-28 00:00:00,55995,21
2021-03-29 00:00:00,56549,554
2021-03-30 00:00:00,57215,666
2021-03-31 00:00:00,58667,1452
2021-04-01 00:00:00,60893,2226
2021-04-02 00:00:00,62246,1353
2021-04-03 00:00:00,63560,1314
2021-04-04 00:00:00,63604,44
2021-04-05 00:00:00,64297,693
2021-04-06 00:00:00,65219,922
2021-04-07 00:00:00,66856,1637
2021-04-08 00:00:00,68521,1665
2021-04-09 00:00:00,69647,1126
2021-04-10 00:00:00,70430,783
2021-04-11 00:00:00,70517,87
2021-04-12 00:00:00,71219,702
2021-04-13 00:00:00,71768,549
2021-04-14 00:00:00,72881,1113
2021-04-15 00:00:00,75029,2148
2021-04-16 00:00:00,76171,1142
2021-04-17 00:00:00,77488,1317
2021-04-18 00:00:00,77525,37
2021-04-19 00:00:00,78167,642
2021-04-20 00:00:00,78678,511
2021-04-21 00:00:00,79638,960
2021-04-22 00:00:00,81092,1454
2021-04-23 00:00:00,82101,1009
2021-04-24 00:00:00,82931,830
2021-04-25 00:00:00,82960,29
2021-04-26 00:00:00,83426,466
2021-04-27 00:00:00,83886,460
2021-04-28 00:00:00,84885,999
2021-04-29 00:00:00,85885,1000
2021-04-30 00:00:00,86557,672
2021-05-01 00:00:00,87012,455
2021-05-02 00:00:00,87033,21
2021-05-03 00:00:00,87325,292
2021-05-04 00:00:00,87773,448
2021-05-05 00:00:00,88690,917
2021-05-06 00:00:00,89677,987
2021-05-07 00:00:00,90362,685
2021-05-08 00:00:00,90781,419
2021-05-09 00:00:00,90794,13
2021-05-10 00:00:00,91078,284
2021-05-11 00:00:00,91369,291
2021-05-12 00:00:00,92058,689
2021-05-13 00:00:00,93129,1071
