date,Intubations_covid
2021-12-19,93
2021-12-18,86
2021-12-17,85
2021-12-16,82
2021-12-15,83
2021-12-14,97
2021-12-13,92
2021-12-12,101
2021-12-11,98
2021-12-10,113
2021-12-09,120
2021-12-08,124
2021-12-07,115
2021-12-06,98
2021-12-05,83
2021-12-04,81
2021-12-03,86
2021-12-02,98
2021-12-01,101
2021-11-30,75
2021-11-29,166
2021-11-28,86
2021-11-27,81
2021-11-26,99
2021-11-25,88
2021-11-24,237
2021-11-23,239
2021-11-22,219
2021-11-21,204
2021-11-20,195
2021-11-19,192
2021-11-18,184
2021-11-17,85
2021-11-16,101
2021-11-15,89
2021-11-14,75
2021-11-13,82
2021-11-12,79
2021-11-11,80
2021-11-10,102
2021-11-09,80
2021-11-08,79
2021-11-07,96
2021-11-06,94
2021-11-05,84
2021-11-04,84
2021-11-03,70
2021-11-02,72
2021-11-01,82
2021-10-31,67
2021-10-30,78
2021-10-29,64
2021-10-28,75
2021-10-27,78
2021-10-26,100
2021-10-25,74
2021-10-24,79
2021-10-23,67
2021-10-22,88
2021-10-21,78
2021-10-20,72
2021-10-19,79
2021-10-18,70
2021-10-17,82
2021-10-16,90
2021-10-15,86
2021-10-14,79
2021-10-13,70
2021-10-12,66
2021-10-11,59
2021-10-10,57
2021-10-09,56
2021-10-08,74
2021-10-07,53
2021-10-06,73
2021-10-05,73
2021-10-04,75
2021-10-03,64
2021-10-02,66
2021-10-01,75
2021-09-30,73
2021-09-29,70
2021-09-28,74
2021-09-27,75
2021-09-26,60
2021-09-25,83
2021-09-24,77
2021-09-23,72
2021-09-22,84
2021-09-21,86
2021-09-20,94
2021-09-19,70
2021-09-18,66
2021-09-17,80
2021-09-16,78
2021-09-15,74
2021-09-14,69
2021-09-13,70
2021-09-12,77
2021-09-11,81
2021-09-10,83
2021-09-09,85
2021-09-08,84
2021-09-07,69
2021-09-06,75
2021-09-05,70
2021-09-04,75
2021-09-03,68
2021-09-02,79
2021-09-01,75
2021-08-31,66
2021-08-30,75
2021-08-29,80
2021-08-28,87
2021-08-27,76
2021-08-26,72
2021-08-25,81
2021-08-24,89
2021-08-23,69
2021-08-22,74
2021-08-21,76
2021-08-20,59
2021-08-19,67
2021-08-18,86
2021-08-17,64
2021-08-16,60
2021-08-15,65
2021-08-14,59
2021-08-13,66
2021-08-12,55
2021-08-11,71
2021-08-10,72
2021-08-09,60
2021-08-08,58
2021-08-07,55
2021-08-06,71
2021-08-05,62
2021-08-04,56
2021-08-03,65
2021-08-02,56
2021-08-01,51
2021-07-31,65
2021-07-30,53
2021-07-29,58
2021-07-28,58
2021-07-27,54
2021-07-26,51
2021-07-25,63
2021-07-24,73
2021-07-23,54
2021-07-22,56
2021-07-21,60
2021-07-20,62
2021-07-19,54
2021-07-18,56
2021-07-17,57
2021-07-16,60
2021-07-15,65
2021-07-14,72
2021-07-13,56
2021-07-12,56
2021-07-11,58
2021-07-10,60
2021-07-09,53
2021-07-08,67
2021-07-07,60
2021-07-06,50
2021-07-05,57
2021-07-04,52
2021-07-03,59
2021-07-02,60
2021-07-01,47
2021-06-30,56
2021-06-29,49
2021-06-28,45
2021-06-27,52
2021-06-26,37
2021-06-25,66
2021-06-24,47
2021-06-23,58
2021-06-22,54
2021-06-21,54
