date,20-34_Apache,35-44_Apache,45-54_Apache,55-64_Apache,65+_Apache,<20_Apache
1/1/2021,147,138,183,189,232,4
1/10/2021,181,188,255,299,654,11
1/11/2021,185,193,264,314,736,12
1/12/2021,194,204,276,342,854,12
1/13/2021,196,214,297,372,939,14
1/14/2021,213,237,314,427,1156,17
1/15/2021,221,238,331,451,1226,22
1/16/2021,221,238,332,454,1240,22
1/17/2021,221,238,333,454,1240,22
1/18/2021,228,245,345,463,1267,22
1/19/2021,236,254,359,486,1340,23
1/2/2021,147,140,184,189,232,4
1/20/2021,249,268,381,516,1414,62
1/21/2021,263,286,409,589,1534,113
1/22/2021,298,322,450,666,1640,126
1/23/2021,299,323,450,669,1658,128
1/24/2021,299,323,450,670,1660,128
1/25/2021,303,338,454,680,1721,128
1/26/2021,312,348,464,701,1805,135
1/27/2021,324,358,481,720,1888,151
1/28/2021,345,380,534,821,2005,158
1/29/2021,359,394,556,847,2040,165
1/3/2021,147,140,184,189,232,4
1/30/2021,360,394,556,848,2041,172
1/31/2021,360,395,556,855,2043,176
1/4/2021,150,142,188,190,250,4
1/5/2021,154,147,196,204,298,7
1/6/2021,163,162,210,230,469,11
1/7/2021,169,179,238,280,607,11
1/8/2021,181,188,255,298,648,11
1/9/2021,181,188,255,299,653,11
12/1/2020,,,2,,,
12/10/2020,2,2,3,3,,1
12/11/2020,2,2,3,3,,1
12/12/2020,2,2,3,3,,1
12/13/2020,2,2,3,3,1,1
12/14/2020,2,2,3,3,1,1
12/15/2020,2,3,3,5,1,1
12/16/2020,5,9,9,16,3,1
12/17/2020,12,21,23,25,3,1
12/18/2020,16,23,27,29,3,1
12/19/2020,16,23,27,29,3,1
12/2/2020,,1,2,,,
12/20/2020,16,23,27,29,3,1
12/21/2020,17,24,29,30,4,1
12/22/2020,17,25,32,31,4,1
12/23/2020,50,47,57,70,31,2
12/24/2020,53,48,58,72,33,2
12/25/2020,53,48,58,72,34,2
12/26/2020,53,48,60,72,34,2
12/27/2020,53,48,60,72,34,2
12/28/2020,68,54,69,87,55,2
12/29/2020,111,109,138,143,161,2
12/3/2020,1,1,2,1,,
12/30/2020,139,127,166,181,201,4
12/31/2020,147,138,183,189,230,4
12/4/2020,1,1,2,2,,
12/5/2020,1,1,2,2,,
12/6/2020,1,1,2,2,,
12/7/2020,1,1,3,2,,1
12/8/2020,1,1,3,3,,1
12/9/2020,2,2,3,3,,1
2/1/2021,368,410,573,892,2112,194
2/10/2021,690,623,863,1288,2580,402
2/11/2021,852,715,920,1375,2635,490
2/12/2021,885,755,950,1396,2667,524
2/13/2021,933,788,966,1405,2679,539
2/14/2021,934,788,966,1405,2679,539
2/15/2021,936,790,971,1418,2700,539
2/16/2021,974,819,995,1441,2717,551
2/17/2021,1054,865,1035,1481,2751,573
2/18/2021,1103,889,1054,1515,2785,590
2/19/2021,1135,910,1078,1531,2801,633
2/2/2021,374,414,581,923,2182,207
2/20/2021,1165,916,1089,1548,2807,657
2/21/2021,1165,916,1090,1548,2807,664
2/22/2021,1214,937,1120,1574,2831,675
2/23/2021,1253,958,1138,1601,2849,682
2/24/2021,1291,974,1155,1626,2877,694
2/25/2021,1319,992,1165,1648,2905,856
2/26/2021,1357,1005,1172,1663,2916,872
2/27/2021,1373,1013,1181,1672,2921,884
2/28/2021,1374,1013,1181,1672,2921,884
2/3/2021,419,450,636,993,2263,226
2/4/2021,479,491,707,1095,2359,247
2/5/2021,534,534,753,1148,2400,263
2/6/2021,561,550,791,1178,2414,327
2/7/2021,561,551,791,1178,2415,327
2/8/2021,574,570,811,1200,2465,331
2/9/2021,589,586,826,1239,2533,336
3/1/2021,1404,1034,1196,1705,2953,938
3/10/2021,1593,1138,1295,1851,3099,1224
3/11/2021,1629,1154,1311,1879,3132,1243
3/12/2021,1639,1158,1314,1888,3144,1271
3/13/2021,1640,1159,1314,1889,3145,1274
3/14/2021,1640,1159,1314,1889,3147,1274
3/15/2021,1666,1170,1326,1912,3176,1296
3/16/2021,1688,1182,1334,1928,3197,1337
3/17/2021,1722,1192,1345,1940,3218,1359
3/18/2021,1735,1198,1353,1950,3240,1367
3/19/2021,1763,1204,1356,1969,3246,1379
3/2/2021,1443,1047,1217,1724,2978,976
3/20/2021,1763,1205,1358,1970,3250,1382
3/21/2021,1763,1205,1358,1971,3252,1382
3/22/2021,1781,1216,1365,1989,3270,1387
3/23/2021,1790,1221,1368,1998,3287,1398
3/24/2021,1818,1255,1400,2049,3356,1417
3/25/2021,1825,1258,1408,2055,3365,1432
3/26/2021,1827,1261,1412,2061,3371,1439
3/27/2021,1831,1261,1413,2061,3373,1444
3/28/2021,1832,1261,1413,2062,3373,1445
3/29/2021,1843,1267,1422,2075,3386,1449
3/3/2021,1465,1062,1228,1740,3009,1018
3/30/2021,1848,1271,1427,2080,3394,1460
3/31/2021,1854,1281,1443,2094,3405,1480
3/4/2021,1489,1083,1246,1759,3023,1101
3/5/2021,1512,1100,1259,1778,3030,1131
3/6/2021,1519,1107,1261,1782,3035,1149
3/7/2021,1519,1107,1261,1782,3037,1149
3/8/2021,1550,1117,1269,1800,3046,1167
3/9/2021,1568,1129,1280,1826,3069,1195
4/1/2021,1862,1287,1452,2109,3413,1489
4/10/2021,1946,1335,1504,2171,3479,1620
4/11/2021,1948,1335,1505,2172,3479,1622
4/12/2021,1961,1349,1516,2184,3489,1629
4/13/2021,1966,1352,1520,2188,3507,1646
4/14/2021,1973,1355,1522,2190,3513,1659
4/15/2021,1981,1364,1525,2194,3520,1671
4/16/2021,1985,1368,1528,2198,3524,1681
4/17/2021,1985,1370,1529,2198,3527,1684
4/18/2021,1985,1371,1530,2198,3528,1684
4/19/2021,1991,1371,1533,2199,3530,1690
4/2/2021,1869,1290,1455,2113,3415,1500
