date,pcr_tests_LA_PAZ,pcr_pos_test_LA_PAZ,pcr_positivity_LA_PAZ
2021-11-11 00:00:00,7,1,0.1428571428571429
2021-11-10 00:00:00,45,2,0.0444444444444444
2021-11-09 00:00:00,230,7,0.0304347826086957
2021-11-08 00:00:00,340,6,0.0176470588235294
2021-11-07 00:00:00,10,0,0
2021-11-06 00:00:00,12,2,0.1666666666666667
2021-11-05 00:00:00,50,6,0.12
2021-11-04 00:00:00,36,1,0.0277777777777778
2021-11-03 00:00:00,45,6,0.1333333333333333
2021-11-02 00:00:00,256,9,0.03515625
2021-11-01 00:00:00,72,6,0.0833333333333333
2021-10-31 00:00:00,15,2,0.1333333333333333
2021-10-30 00:00:00,5,0,0
2021-10-29 00:00:00,41,7,0.1707317073170732
2021-10-28 00:00:00,55,8,0.1454545454545455
2021-10-27 00:00:00,59,3,0.0508474576271187
2021-10-26 00:00:00,266,6,0.0225563909774436
2021-10-25 00:00:00,348,0,0
2021-10-24 00:00:00,8,0,0
2021-10-23 00:00:00,12,0,0
2021-10-22 00:00:00,29,1,0.0344827586206897
2021-10-21 00:00:00,31,1,0.032258064516129
2021-10-20 00:00:00,23,2,0.0869565217391304
2021-10-19 00:00:00,242,5,0.0206611570247934
2021-10-18 00:00:00,49,5,0.1020408163265306
2021-10-17 00:00:00,10,2,0.2
2021-10-16 00:00:00,10,0,0
2021-10-15 00:00:00,45,1,0.0222222222222222
2021-10-14 00:00:00,46,8,0.1739130434782609
2021-10-13 00:00:00,52,2,0.0384615384615385
2021-10-12 00:00:00,264,5,0.0189393939393939
2021-10-11 00:00:00,323,2,0.0061919504643963
2021-10-10 00:00:00,19,3,0.1578947368421053
2021-10-09 00:00:00,5,0,0
2021-10-08 00:00:00,38,5,0.1315789473684211
2021-10-07 00:00:00,40,2,0.05
2021-10-06 00:00:00,33,3,0.0909090909090909
2021-10-05 00:00:00,225,1,0.0044444444444444
2021-10-04 00:00:00,58,8,0.1379310344827586
2021-10-03 00:00:00,10,0,0
2021-10-02 00:00:00,14,4,0.2857142857142857
2021-10-01 00:00:00,42,8,0.1904761904761905
2021-09-30 00:00:00,53,2,0.0377358490566038
2021-09-29 00:00:00,63,8,0.126984126984127
2021-09-28 00:00:00,239,7,0.0292887029288703
2021-09-27 00:00:00,397,7,0.017632241813602
2021-09-26 00:00:00,6,0,0
2021-09-25 00:00:00,13,2,0.1538461538461539
2021-09-24 00:00:00,51,11,0.2156862745098039
2021-09-23 00:00:00,91,10,0.1098901098901099
2021-09-22 00:00:00,81,8,0.0987654320987654
2021-09-21 00:00:00,84,11,0.130952380952381
2021-09-20 00:00:00,138,12,0.0869565217391304
2021-09-19 00:00:00,27,6,0.2222222222222222
2021-09-18 00:00:00,9,1,0.1111111111111111
2021-09-17 00:00:00,58,9,0.1551724137931035
2021-09-16 00:00:00,74,11,0.1486486486486487
2021-09-15 00:00:00,80,13,0.1625
2021-09-14 00:00:00,296,26,0.0878378378378378
2021-09-13 00:00:00,325,14,0.0430769230769231
2021-09-12 00:00:00,24,6,0.25
2021-09-11 00:00:00,13,3,0.2307692307692308
2021-09-10 00:00:00,30,7,0.2333333333333334
2021-09-09 00:00:00,30,9,0.3
2021-09-08 00:00:00,27,2,0.0740740740740741
2021-09-07 00:00:00,82,17,0.2073170731707317
2021-09-06 00:00:00,28,7,0.25
2021-09-05 00:00:00,17,1,0.0588235294117647
2021-09-04 00:00:00,12,0,0
2021-09-03 00:00:00,25,2,0.08
