date,20-34_Apache,35-44_Apache,45-54_Apache,55-64_Apache,65+_Apache,<20_Apache
1/1/2021,145,138,180,183,232,3
1/10/2021,178,187,251,293,654,10
1/11/2021,182,192,259,308,736,11
1/12/2021,191,203,271,337,852,11
1/13/2021,193,213,291,367,937,13
1/14/2021,210,236,308,422,1153,16
1/15/2021,218,237,325,446,1223,21
1/16/2021,218,237,326,449,1237,21
1/17/2021,218,237,327,449,1237,21
1/18/2021,225,244,339,458,1264,21
1/19/2021,233,254,352,481,1337,22
1/2/2021,145,140,181,183,232,3
1/20/2021,246,267,374,512,1411,61
1/21/2021,260,285,401,586,1529,112
1/22/2021,295,322,441,662,1634,125
1/23/2021,296,323,441,665,1652,127
1/24/2021,296,323,441,666,1654,127
1/25/2021,300,338,445,676,1715,127
1/26/2021,309,348,455,697,1799,134
1/27/2021,321,358,472,715,1882,150
1/28/2021,342,380,527,815,1998,157
1/29/2021,356,393,549,841,2033,164
1/3/2021,145,140,181,183,232,3
1/30/2021,357,393,549,842,2034,171
1/31/2021,357,394,549,849,2036,175
1/4/2021,148,142,185,184,250,3
1/5/2021,151,147,192,198,298,6
1/6/2021,160,162,206,224,469,10
1/7/2021,166,178,234,274,607,10
1/8/2021,178,187,251,292,648,10
1/9/2021,178,187,251,293,653,10
12/10/2020,,,1,2,,
12/11/2020,,,1,2,,
12/12/2020,,,1,2,,
12/13/2020,,,1,2,1,
12/14/2020,,,1,2,1,
12/15/2020,,1,1,3,1,
12/16/2020,3,7,7,13,3,
12/17/2020,10,19,21,22,3,
12/18/2020,14,21,25,26,3,
12/19/2020,14,21,25,26,3,
12/20/2020,14,21,25,26,3,
12/21/2020,15,22,27,27,4,
12/22/2020,15,23,30,28,4,
12/23/2020,48,45,54,66,31,1
12/24/2020,51,46,55,68,33,1
12/25/2020,51,46,55,68,34,1
12/26/2020,51,46,57,68,34,1
12/27/2020,51,46,57,68,34,1
12/28/2020,65,52,66,83,55,1
12/29/2020,108,108,135,138,161,1
12/30/2020,137,127,163,175,201,3
12/31/2020,145,138,180,183,230,3
12/4/2020,,,,1,,
12/5/2020,,,,1,,
12/6/2020,,,,1,,
12/7/2020,,,1,1,,
12/8/2020,,,1,2,,
12/9/2020,,,1,2,,
2/1/2021,365,410,565,886,2105,193
2/10/2021,688,623,852,1280,2573,401
2/11/2021,847,715,909,1367,2628,491
2/12/2021,880,755,939,1388,2660,525
2/13/2021,927,789,954,1397,2672,540
2/14/2021,928,789,954,1397,2672,540
2/15/2021,930,791,960,1409,2693,540
2/16/2021,967,820,983,1432,2710,552
2/17/2021,1045,866,1023,1472,2744,576
2/18/2021,1093,890,1041,1506,2778,593
2/19/2021,1124,911,1065,1522,2794,637
2/2/2021,371,414,572,916,2175,206
2/20/2021,1154,917,1076,1539,2800,661
2/21/2021,1154,917,1077,1539,2800,668
2/22/2021,1203,938,1107,1565,2824,679
2/23/2021,1243,958,1125,1592,2842,686
2/24/2021,1281,974,1142,1617,2868,698
2/25/2021,1309,992,1152,1639,2896,860
2/26/2021,1347,1005,1159,1654,2907,876
2/27/2021,1362,1013,1168,1663,2912,889
2/28/2021,1363,1013,1168,1663,2912,889
2/3/2021,416,450,627,986,2256,225
2/4/2021,476,492,696,1088,2352,246
2/5/2021,532,534,741,1141,2393,262
2/6/2021,559,550,779,1171,2407,326
2/7/2021,559,551,779,1171,2408,326
2/8/2021,572,570,800,1193,2458,330
2/9/2021,587,586,815,1232,2526,335
3/1/2021,1393,1034,1182,1697,2943,943
3/10/2021,1582,1139,1280,1842,3088,1229
3/11/2021,1618,1155,1296,1870,3121,1248
3/12/2021,1628,1159,1299,1879,3133,1276
3/13/2021,1629,1160,1299,1880,3134,1279
3/14/2021,1629,1160,1299,1880,3136,1279
3/15/2021,1655,1171,1311,1903,3164,1301
3/16/2021,1677,1183,1319,1920,3184,1342
3/17/2021,1711,1193,1330,1932,3205,1364
3/18/2021,1724,1199,1338,1942,3227,1372
3/19/2021,1752,1205,1341,1960,3233,1384
3/2/2021,1432,1047,1203,1716,2968,981
3/20/2021,1752,1206,1343,1961,3237,1387
3/21/2021,1752,1206,1343,1962,3239,1387
3/22/2021,1770,1217,1350,1980,3257,1392
3/23/2021,1779,1222,1353,1989,3274,1403
3/24/2021,1807,1256,1385,2040,3343,1422
3/25/2021,1814,1259,1393,2046,3352,1437
3/26/2021,1816,1262,1397,2052,3358,1444
3/27/2021,1820,1262,1398,2052,3360,1449
