date,Santa Cruz_cume,Santa Cruz
2020-12-22 00:00:00,61,
2020-12-23 00:00:00,81,20
2020-12-24 00:00:00,101,20
2020-12-28 00:00:00,141,40
2020-12-29 00:00:00,201,60
2020-12-30 00:00:00,265,64
2020-12-31 00:00:00,309,44
2021-01-04 00:00:00,350,41
2021-01-05 00:00:00,430,80
2021-01-06 00:00:00,564,134
2021-01-07 00:00:00,735,171
2021-01-08 00:00:00,914,179
2021-01-11 00:00:00,1009,95
2021-01-12 00:00:00,1163,154
2021-01-13 00:00:00,1372,209
2021-01-14 00:00:00,1594,222
2021-01-15 00:00:00,1795,201
2021-01-19 00:00:00,1912,117
2021-01-20 00:00:00,2351,439
2021-01-21 00:00:00,2769,418
2021-01-22 00:00:00,3271,502
2021-01-25 00:00:00,3385,114
2021-01-26 00:00:00,3794,409
2021-01-27 00:00:00,3975,181
2021-01-28 00:00:00,4490,515
2021-01-29 00:00:00,4903,413
2021-02-01 00:00:00,5020,117
2021-02-02 00:00:00,5591,571
2021-02-03 00:00:00,5776,185
2021-02-04 00:00:00,6341,565
2021-02-05 00:00:00,7021,680
2021-02-06 00:00:00,7027,6
2021-02-08 00:00:00,7196,169
2021-02-09 00:00:00,7759,563
2021-02-10 00:00:00,8376,617
2021-02-11 00:00:00,9004,628
2021-02-12 00:00:00,9635,631
2021-02-13 00:00:00,10113,478
2021-02-14 00:00:00,10552,439
2021-02-15 00:00:00,10640,88
2021-02-16 00:00:00,10727,87
2021-02-17 00:00:00,10730,3
2021-02-18 00:00:00,10741,11
2021-02-19 00:00:00,10788,47
2021-02-22 00:00:00,10828,40
2021-02-23 00:00:00,11456,628
2021-02-24 00:00:00,12254,798
2021-02-25 00:00:00,13013,759
2021-02-26 00:00:00,13735,722
2021-02-27 00:00:00,13747,12
2021-03-01 00:00:00,13890,143
2021-03-02 00:00:00,14748,858
2021-03-03 00:00:00,15483,735
2021-03-04 00:00:00,16283,800
2021-03-05 00:00:00,17068,785
2021-03-06 00:00:00,17142,74
2021-03-07 00:00:00,17158,16
2021-03-08 00:00:00,17320,162
2021-03-09 00:00:00,17975,655
2021-03-10 00:00:00,18689,714
2021-03-11 00:00:00,19382,693
2021-03-12 00:00:00,20069,687
2021-03-13 00:00:00,20581,512
2021-03-14 00:00:00,20948,367
2021-03-15 00:00:00,21109,161
2021-03-16 00:00:00,21802,693
2021-03-17 00:00:00,22552,750
2021-03-18 00:00:00,23246,694
2021-03-19 00:00:00,24088,842
2021-03-20 00:00:00,24110,22
2021-03-21 00:00:00,24121,11
2021-03-22 00:00:00,24309,188
2021-03-23 00:00:00,25066,757
2021-03-24 00:00:00,25767,701
2021-03-25 00:00:00,26410,643
2021-03-26 00:00:00,27153,743
2021-03-27 00:00:00,27199,46
2021-03-28 00:00:00,27200,1
2021-03-29 00:00:00,27359,159
2021-03-30 00:00:00,28195,836
2021-03-31 00:00:00,29019,824
2021-04-01 00:00:00,29875,856
2021-04-02 00:00:00,30564,689
2021-04-03 00:00:00,30590,26
2021-04-04 00:00:00,30601,11
2021-04-05 00:00:00,31144,543
2021-04-06 00:00:00,31854,710
2021-04-07 00:00:00,32652,798
2021-04-08 00:00:00,33377,725
2021-04-09 00:00:00,34095,718
2021-04-10 00:00:00,34651,556
2021-04-11 00:00:00,34661,10
2021-04-12 00:00:00,34994,333
2021-04-13 00:00:00,35794,800
2021-04-14 00:00:00,36662,868
2021-04-15 00:00:00,37491,829
2021-04-16 00:00:00,38452,961
2021-04-17 00:00:00,38476,24
2021-04-18 00:00:00,38515,39
2021-04-19 00:00:00,38757,242
2021-04-20 00:00:00,39547,790
2021-04-21 00:00:00,40273,726
2021-04-22 00:00:00,41054,781
2021-04-23 00:00:00,41847,793
2021-04-24 00:00:00,42210,363
2021-04-26 00:00:00,42757,547
2021-04-27 00:00:00,43512,755
2021-04-28 00:00:00,44192,680
2021-04-29 00:00:00,44870,678
2021-04-30 00:00:00,45451,581
2021-05-01 00:00:00,45467,16
2021-05-02 00:00:00,45479,12
2021-05-03 00:00:00,45962,483
2021-05-04 00:00:00,46545,583
2021-05-05 00:00:00,47263,718
2021-05-06 00:00:00,47834,571
2021-05-07 00:00:00,48493,659
2021-05-08 00:00:00,48503,10
2021-05-09 00:00:00,48515,12
2021-05-10 00:00:00,48946,431
2021-05-11 00:00:00,49052,106
2021-05-12 00:00:00,49410,358
2021-05-13 00:00:00,50272,862
2021-05-14 00:00:00,50965,693
2021-05-15 00:00:00,50979,14
2021-05-16 00:00:00,50993,14
2021-05-17 00:00:00,51839,846
2021-05-18 00:00:00,52352,513
2021-05-19 00:00:00,52766,414
2021-05-20 00:00:00,53438,672
2021-05-21 00:00:00,53825,387
2021-05-22 00:00:00,53868,43
2021-05-23 00:00:00,53892,24
2021-05-24 00:00:00,54125,233
2021-05-25 00:00:00,54771,646
