date,20-34_Yuma,35-44_Yuma,45-54_Yuma,55-64_Yuma,65+_Yuma,<20_Yuma
1/1/2021,946,863,634,482,223,7
1/10/2021,1294,1199,924,711,499,11
1/11/2021,1354,1286,988,749,840,11
1/12/2021,1417,1354,1064,803,1161,13
1/13/2021,1503,1427,1139,865,1497,13
1/14/2021,1522,1444,1168,888,1585,13
1/15/2021,1551,1459,1189,914,1675,13
1/16/2021,1555,1460,1193,915,1680,13
1/17/2021,1557,1463,1194,916,1684,13
1/18/2021,1565,1470,1203,920,1701,13
1/19/2021,1608,1497,1233,949,1814,18
1/2/2021,948,864,634,484,224,7
1/20/2021,1623,1504,1241,959,1844,19
1/21/2021,1743,1696,1412,1058,2366,22
1/22/2021,1851,1790,1495,1138,3028,23
1/23/2021,1880,1829,1521,1168,3063,24
1/24/2021,1881,1831,1524,1171,3074,24
1/25/2021,1916,1903,1587,1220,3231,24
1/26/2021,2049,2045,1725,1356,3385,32
1/27/2021,2191,2198,1843,1452,3587,32
1/28/2021,2348,2349,2033,1669,4283,33
1/29/2021,2506,2481,2199,1809,5366,36
1/3/2021,950,864,634,484,224,7
1/30/2021,2546,2512,2237,1882,6226,36
1/31/2021,2547,2513,2237,1883,6242,36
1/4/2021,1005,919,674,517,261,8
1/5/2021,1093,1013,740,562,296,8
1/6/2021,1208,1128,835,626,366,11
1/7/2021,1254,1166,894,664,397,11
1/8/2021,1287,1195,920,705,488,11
1/9/2021,1289,1196,924,709,493,11
12/1/2020,1,1,1,,2,
12/10/2020,1,2,3,,3,
12/11/2020,1,2,3,,3,
12/12/2020,1,2,5,,3,
12/13/2020,1,2,5,,3,
12/14/2020,1,2,5,,3,
12/15/2020,1,2,5,,3,
12/16/2020,3,3,6,1,4,
12/17/2020,9,7,10,5,6,
12/18/2020,9,7,11,5,6,
12/19/2020,9,7,12,5,8,
12/2/2020,1,1,1,,2,
12/20/2020,9,9,12,6,8,
12/21/2020,75,45,50,23,23,
12/22/2020,255,243,171,135,55,1
