date,20-34_Mohave,35-44_Mohave,45-54_Mohave,55-64_Mohave,65+_Mohave,<20_Mohave
1/1/2021,294,384,434,500,357,7
1/10/2021,444,553,644,749,825,11
1/11/2021,461,567,675,787,924,11
1/12/2021,481,590,704,835,1087,11
1/13/2021,499,621,745,882,1255,12
1/14/2021,533,651,794,948,1457,13
1/15/2021,558,695,831,1016,1691,14
1/16/2021,570,712,846,1056,1959,15
1/17/2021,571,715,846,1059,1983,15
1/18/2021,589,732,872,1093,2216,16
1/19/2021,607,749,903,1144,2400,17
1/2/2021,300,394,443,511,370,7
1/20/2021,641,777,927,1210,2676,17
1/21/2021,658,800,954,1251,2850,17
1/22/2021,686,823,982,1296,3093,17
1/23/2021,699,833,991,1315,3692,17
1/24/2021,699,839,1000,1321,4222,17
1/25/2021,705,846,1010,1340,4478,18
1/26/2021,720,853,1018,1367,4834,18
1/27/2021,744,872,1044,1418,5249,19
1/28/2021,763,895,1076,1466,5778,19
1/29/2021,778,904,1090,1496,6156,19
1/3/2021,302,395,452,518,377,7
1/30/2021,783,909,1102,1515,6459,19
1/31/2021,786,910,1109,1527,6934,19
1/4/2021,321,423,483,563,441,8
1/5/2021,336,446,506,591,484,8
1/6/2021,375,481,544,655,556,9
1/7/2021,402,509,589,690,671,11
1/8/2021,433,542,628,732,776,11
1/9/2021,439,551,638,744,794,11
10/1/2021,7426,5983,8328,16587,40799,2925
10/10/2021,7551,6043,8401,16681,40908,2966
10/11/2021,7563,6050,8411,16696,40923,2968
10/12/2021,7582,6061,8422,16706,40937,2972
10/13/2021,7593,6073,8432,16714,40960,2977
10/14/2021,7607,6076,8447,16725,40988,2985
10/15/2021,7640,6093,8462,16735,41010,3002
10/16/2021,7652,6104,8472,16738,41015,3010
10/17/2021,7662,6104,8475,16742,41019,3013
10/18/2021,7691,6113,8490,16756,41035,3015
10/19/2021,7706,6127,8496,16772,41060,3028
10/2/2021,7435,5995,8336,16596,40815,2927
10/20/2021,7715,6136,8505,16779,41079,3030
