date,La Paz_cume,La Paz
2020-12-21,10,
2020-12-22,29,19
2020-12-23,41,12
2020-12-28,44,3
2020-12-29,46,2
2020-12-30,63,17
2020-12-31,67,4
2021-01-04,70,3
2021-01-05,72,2
2021-01-06,103,31
2021-01-07,157,54
2021-01-09,158,1
2021-01-11,162,4
2021-01-12,169,7
2021-01-13,328,159
2021-01-14,336,8
2021-01-15,341,5
2021-01-16,342,1
2021-01-18,352,10
2021-01-19,376,24
2021-01-20,452,76
2021-01-21,462,10
2021-01-22,464,2
2021-01-23,467,3
2021-01-25,494,27
2021-01-26,517,23
2021-01-27,885,368
2021-01-28,1296,411
2021-01-29,1319,23
2021-01-30,1321,2
2021-01-31,1328,7
2021-02-01,1353,25
2021-02-02,1383,30
2021-02-03,1850,467
2021-02-04,2002,152
2021-02-05,2044,42
2021-02-06,2048,4
2021-02-07,2050,2
2021-02-08,2085,35
2021-02-09,2130,45
2021-02-10,2469,339
2021-02-11,2655,186
2021-02-12,2671,16
2021-02-13,2680,9
2021-02-14,2689,9
2021-02-15,2698,9
2021-02-16,2708,10
2021-02-17,2794,86
2021-02-18,3086,292
2021-02-19,3095,9
2021-02-20,3099,4
2021-02-21,3106,7
2021-02-22,3132,26
2021-02-23,3164,32
2021-02-24,3483,319
2021-02-25,3908,425
2021-02-26,3939,31
2021-02-27,3947,8
2021-02-28,3956,9
2021-03-01,4013,57
2021-03-02,4078,65
2021-03-03,4577,499
2021-03-04,5072,495
2021-03-05,5116,44
2021-03-06,5129,13
2021-03-07,5139,10
2021-03-08,5189,50
2021-03-09,5269,80
2021-03-10,5677,408
2021-03-11,6051,374
2021-03-12,6110,59
2021-03-13,6131,21
2021-03-14,6141,10
2021-03-15,6196,55
2021-03-16,6247,51
2021-03-17,6581,334
2021-03-18,6914,333
2021-03-19,6951,37
2021-03-20,6961,10
2021-03-21,6971,10
2021-03-22,7021,50
2021-03-23,7074,53
2021-03-24,7389,315
2021-03-25,7745,356
