date,Graham_cume,Graham
2020-12-23 00:00:00,63,
2020-12-26 00:00:00,73,10
2020-12-28 00:00:00,84,11
2020-12-29 00:00:00,146,62
2020-12-30 00:00:00,187,41
2020-12-31 00:00:00,199,12
2021-01-01 00:00:00,202,3
2021-01-04 00:00:00,284,82
2021-01-05 00:00:00,341,57
2021-01-06 00:00:00,414,73
2021-01-07 00:00:00,509,95
2021-01-08 00:00:00,700,191
2021-01-11 00:00:00,746,46
2021-01-12 00:00:00,821,75
2021-01-13 00:00:00,918,97
2021-01-14 00:00:00,1079,161
2021-01-15 00:00:00,1355,276
2021-01-16 00:00:00,1409,54
2021-01-18 00:00:00,1457,48
2021-01-19 00:00:00,1492,35
2021-01-20 00:00:00,1654,162
2021-01-21 00:00:00,1771,117
2021-01-22 00:00:00,1970,199
2021-01-23 00:00:00,2185,215
2021-01-25 00:00:00,2229,44
2021-01-26 00:00:00,2329,100
2021-01-27 00:00:00,2436,107
2021-01-28 00:00:00,2538,102
2021-01-29 00:00:00,2789,251
2021-02-01 00:00:00,2887,98
2021-02-02 00:00:00,3014,127
2021-02-03 00:00:00,3178,164
2021-02-04 00:00:00,3362,184
2021-02-05 00:00:00,3665,303
2021-02-06 00:00:00,3866,201
2021-02-08 00:00:00,3958,92
2021-02-09 00:00:00,4100,142
2021-02-10 00:00:00,4239,139
2021-02-11 00:00:00,4511,272
2021-02-12 00:00:00,4853,342
2021-02-13 00:00:00,5083,230
2021-02-15 00:00:00,5144,61
2021-02-16 00:00:00,5245,101
2021-02-17 00:00:00,5398,153
2021-02-18 00:00:00,5595,197
2021-02-19 00:00:00,5797,202
2021-02-20 00:00:00,6019,222
2021-02-22 00:00:00,6104,85
2021-02-23 00:00:00,6251,147
2021-02-24 00:00:00,6420,169
2021-02-25 00:00:00,6579,159
2021-02-26 00:00:00,6846,267
2021-02-28 00:00:00,6859,13
2021-03-01 00:00:00,6991,132
2021-03-02 00:00:00,7183,192
2021-03-03 00:00:00,7375,192
2021-03-04 00:00:00,7568,193
2021-03-05 00:00:00,7755,187
2021-03-06 00:00:00,7963,208
2021-03-08 00:00:00,8098,135
2021-03-09 00:00:00,8283,185
2021-03-10 00:00:00,8472,189
2021-03-11 00:00:00,8692,220
2021-03-12 00:00:00,8825,133
2021-03-13 00:00:00,9076,251
2021-03-15 00:00:00,9263,187
2021-03-16 00:00:00,9415,152
2021-03-17 00:00:00,9612,197
2021-03-18 00:00:00,9855,243
2021-03-19 00:00:00,10007,152
2021-03-20 00:00:00,10023,16
2021-03-22 00:00:00,10182,159
2021-03-23 00:00:00,10395,213
2021-03-24 00:00:00,10604,209
2021-03-25 00:00:00,10793,189
2021-03-26 00:00:00,10940,147
2021-03-27 00:00:00,11025,85
2021-03-29 00:00:00,11244,219
2021-03-30 00:00:00,11392,148
2021-03-31 00:00:00,11714,322
2021-04-01 00:00:00,11890,176
2021-04-02 00:00:00,11958,68
2021-04-03 00:00:00,11981,23
2021-04-04 00:00:00,11986,5
2021-04-05 00:00:00,12083,97
2021-04-06 00:00:00,12230,147
2021-04-07 00:00:00,12570,340
2021-04-08 00:00:00,12836,266
