date,pcr_tests_MOHAVE,pcr_pos_tests_MOHAVE,pcr_positivity_MOHAVE,ser_tests_MOHAVE,ser_pos_tests_MOHAVE,ser_positivity_MOHAVE
2021-01-27 00:00:00,2,0,0,,,
2021-01-26 00:00:00,57,16,0.2807017543859649,,,
2021-01-25 00:00:00,298,61,0.2046979865771812,22.0,10.0,0.4545454545454546
2021-01-24 00:00:00,336,58,0.1726190476190476,2.0,0.0,0
2021-01-23 00:00:00,418,72,0.1722488038277512,16.0,4.0,0.25
2021-01-22 00:00:00,583,109,0.1869639794168096,34.0,13.0,0.3823529411764706
2021-01-21 00:00:00,735,135,0.1836734693877551,31.0,12.0,0.3870967741935484
2021-01-20 00:00:00,741,130,0.1754385964912281,23.0,11.0,0.4782608695652174
2021-01-19 00:00:00,696,157,0.2255747126436782,26.0,7.0,0.2692307692307692
2021-01-18 00:00:00,767,174,0.226857887874837,27.0,9.0,0.3333333333333333
2021-01-17 00:00:00,405,112,0.2765432098765432,3.0,0.0,0
2021-01-16 00:00:00,456,100,0.2192982456140351,3.0,2.0,0.6666666666666666
2021-01-15 00:00:00,758,176,0.2321899736147757,22.0,10.0,0.4545454545454546
2021-01-14 00:00:00,820,181,0.2207317073170732,20.0,9.0,0.45
2021-01-13 00:00:00,916,202,0.2205240174672489,25.0,8.0,0.32
2021-01-12 00:00:00,874,208,0.2379862700228833,24.0,9.0,0.375
2021-01-11 00:00:00,945,244,0.2582010582010582,20.0,3.0,0.15
2021-01-10 00:00:00,481,134,0.2785862785862786,3.0,2.0,0.6666666666666666
2021-01-09 00:00:00,673,163,0.2421991084695394,1.0,0.0,0
2021-01-08 00:00:00,1019,238,0.2335623159960746,32.0,8.0,0.25
2021-01-07 00:00:00,887,198,0.2232243517474634,95.0,22.0,0.2315789473684211
2021-01-06 00:00:00,977,230,0.2354145342886387,105.0,30.0,0.2857142857142857
2021-01-05 00:00:00,1078,284,0.2634508348794063,39.0,21.0,0.5384615384615384
2021-01-04 00:00:00,1242,337,0.2713365539452496,20.0,4.0,0.2
2021-01-03 00:00:00,531,171,0.3220338983050847,1.0,0.0,0
2021-01-02 00:00:00,635,216,0.3401574803149607,2.0,1.0,0.5
2021-01-01 00:00:00,754,232,0.3076923076923077,1.0,0.0,0
2020-12-31 00:00:00,679,157,0.2312223858615612,28.0,5.0,0.1785714285714286
2020-12-30 00:00:00,646,170,0.2631578947368421,12.0,6.0,0.5
2020-12-29 00:00:00,635,198,0.3118110236220473,18.0,9.0,0.5
2020-12-28 00:00:00,708,200,0.2824858757062147,17.0,6.0,0.3529411764705883
2020-12-27 00:00:00,452,141,0.3119469026548673,2.0,2.0,1
2020-12-26 00:00:00,192,73,0.3802083333333333,1.0,0.0,0
