date,Pima_cume,Pima
2020-12-01 00:00:00,9,
2020-12-02 00:00:00,10,1
2020-12-03 00:00:00,13,3
2020-12-04 00:00:00,14,1
2020-12-05 00:00:00,15,1
2020-12-09 00:00:00,17,2
2020-12-10 00:00:00,18,1
2020-12-11 00:00:00,21,3
2020-12-12 00:00:00,22,1
2020-12-13 00:00:00,23,1
2020-12-14 00:00:00,27,4
2020-12-15 00:00:00,43,16
2020-12-16 00:00:00,47,4
2020-12-17 00:00:00,1280,1233
2020-12-18 00:00:00,2685,1405
2020-12-19 00:00:00,3424,739
2020-12-20 00:00:00,3427,3
2020-12-21 00:00:00,4950,1523
2020-12-22 00:00:00,6452,1502
2020-12-23 00:00:00,8297,1845
2020-12-24 00:00:00,9333,1036
2020-12-25 00:00:00,9334,1
2020-12-26 00:00:00,10121,787
2020-12-27 00:00:00,10286,165
2020-12-28 00:00:00,12132,1846
2020-12-29 00:00:00,14207,2075
2020-12-30 00:00:00,16456,2249
2020-12-31 00:00:00,18113,1657
2021-01-01 00:00:00,18272,159
2021-01-02 00:00:00,18884,612
2021-01-03 00:00:00,19318,434
2021-01-04 00:00:00,21120,1802
2021-01-05 00:00:00,22853,1733
2021-01-06 00:00:00,25004,2151
2021-01-07 00:00:00,27248,2244
2021-01-08 00:00:00,29895,2647
2021-01-09 00:00:00,31413,1518
2021-01-10 00:00:00,31812,399
2021-01-11 00:00:00,34581,2769
2021-01-12 00:00:00,37304,2723
2021-01-13 00:00:00,39765,2461
2021-01-14 00:00:00,42182,2417
2021-01-15 00:00:00,46210,4028
2021-01-16 00:00:00,47607,1397
2021-01-17 00:00:00,48107,500
2021-01-18 00:00:00,52055,3948
2021-01-19 00:00:00,56139,4084
2021-01-20 00:00:00,60822,4683
2021-01-21 00:00:00,66134,5312
2021-01-22 00:00:00,72659,6525
2021-01-23 00:00:00,75211,2552
2021-01-24 00:00:00,76210,999
2021-01-25 00:00:00,83509,7299
2021-01-26 00:00:00,90493,6984
2021-01-27 00:00:00,98027,7534
2021-01-28 00:00:00,104933,6906
2021-01-29 00:00:00,112199,7266
2021-01-30 00:00:00,116003,3804
2021-01-31 00:00:00,117507,1504
2021-02-01 00:00:00,122844,5337
2021-02-02 00:00:00,129118,6274
2021-02-03 00:00:00,136069,6951
2021-02-04 00:00:00,143298,7229
2021-02-05 00:00:00,152030,8732
2021-02-06 00:00:00,156379,4349
2021-02-07 00:00:00,157464,1085
2021-02-08 00:00:00,164280,6816
2021-02-09 00:00:00,170448,6168
2021-02-10 00:00:00,177911,7463
2021-02-11 00:00:00,185614,7703
2021-02-12 00:00:00,194354,8740
2021-02-13 00:00:00,198631,4277
2021-02-14 00:00:00,199545,914
2021-02-15 00:00:00,205629,6084
2021-02-16 00:00:00,212475,6846
2021-02-17 00:00:00,219986,7511
