date,pcr_tests_PIMA,pcr_positivity_PIMA,ser_tests_PIMA,ser_positivity_PIMA
2020-05-10 00:00:00,212,0.0660377358490566,59.0,0.0169491525423729
2020-05-09 00:00:00,782,0.0421994884910486,87.0,0.0114942528735632
2020-05-08 00:00:00,695,0.0345323741007194,578.0,0.0328719723183391
2020-05-07 00:00:00,1017,0.0255653883972468,481.0,0.0353430353430353
2020-05-06 00:00:00,645,0.0418604651162791,356.0,0.0393258426966292
2020-05-05 00:00:00,796,0.0452261306532663,423.0,0.0401891252955083
2020-05-04 00:00:00,758,0.0474934036939314,419.0,0.0167064439140811
2020-05-03 00:00:00,194,0.0567010309278351,35.0,0
2020-05-02 00:00:00,669,0.038863976083707,54.0,0
2020-05-01 00:00:00,513,0.0331384015594542,485.0,0.0577319587628866
2020-04-30 00:00:00,474,0.0421940928270042,480.0,0.0354166666666667
2020-04-29 00:00:00,363,0.0440771349862259,477.0,0.0524109014675052
2020-04-28 00:00:00,347,0.0432276657060519,293.0,0.0580204778156997
2020-04-27 00:00:00,302,0.0496688741721854,122.0,0.0081967213114754
2020-04-26 00:00:00,86,0.0930232558139535,2.0,0
2020-04-25 00:00:00,109,0.0642201834862385,4.0,0
2020-04-24 00:00:00,322,0.0745341614906832,18.0,0.0555555555555556
2020-04-23 00:00:00,287,0.0801393728222997,2.0,0
2020-04-22 00:00:00,254,0.0748031496062992,1.0,0
2020-04-21 00:00:00,209,0.0717703349282297,,
2020-04-20 00:00:00,251,0.1553784860557769,,
2020-04-19 00:00:00,57,0.2105263157894737,,
2020-04-18 00:00:00,62,0.1612903225806452,,
2020-04-17 00:00:00,226,0.1194690265486726,1.0,0
2020-04-16 00:00:00,274,0.1970802919708029,,
2020-04-15 00:00:00,208,0.1201923076923077,,
2020-04-14 00:00:00,183,0.1639344262295082,,
2020-04-13 00:00:00,231,0.1731601731601732,,
2020-04-12 00:00:00,65,0.2461538461538462,,
2020-04-11 00:00:00,68,0.1470588235294118,,
2020-04-10 00:00:00,205,0.2146341463414634,,
2020-04-09 00:00:00,163,0.2024539877300614,,
2020-04-08 00:00:00,206,0.1359223300970874,,
2020-04-07 00:00:00,212,0.1320754716981132,,
2020-04-06 00:00:00,239,0.1380753138075314,,
2020-04-05 00:00:00,67,0.208955223880597,,
2020-04-04 00:00:00,98,0.163265306122449,,
2020-04-03 00:00:00,251,0.1195219123505976,,
2020-04-02 00:00:00,223,0.1210762331838565,,
2020-04-01 00:00:00,211,0.1042654028436019,,
2020-03-31 00:00:00,197,0.1370558375634518,,
2020-03-30 00:00:00,239,0.0753138075313808,,
2020-03-29 00:00:00,61,0.1475409836065574,,
2020-03-28 00:00:00,132,0.143939393939394,,
2020-03-27 00:00:00,282,0.0602836879432624,,
2020-03-26 00:00:00,287,0.0662020905923345,,
2020-03-25 00:00:00,348,0.0517241379310345,,
2020-03-24 00:00:00,313,0.0766773162939297,,
2020-03-23 00:00:00,353,0.0708215297450425,,
2020-03-22 00:00:00,103,0.0970873786407767,,
2020-03-21 00:00:00,99,0.0505050505050505,,
2020-03-20 00:00:00,291,0.0481099656357388,,
2020-03-19 00:00:00,229,0.0305676855895197,,
2020-03-18 00:00:00,201,0.0298507462686567,,
2020-03-17 00:00:00,166,0.0421686746987952,,
2020-03-16 00:00:00,135,0.0444444444444444,,
2020-03-15 00:00:00,26,0.0769230769230769,,
2020-03-14 00:00:00,30,0.1333333333333333,,
2020-03-13 00:00:00,80,0.025,,
2020-03-12 00:00:00,56,0,,
2020-03-11 00:00:00,31,0.032258064516129,,
2020-03-10 00:00:00,8,0,,
2020-03-09 00:00:00,3,0,,
2020-03-08 00:00:00,1,0,,
2020-03-06 00:00:00,1,0,,
2020-03-04 00:00:00,2,0.5,,
2020-03-01 00:00:00,1,0,,
2020-02-27 00:00:00,1,0,,
2020-02-26 00:00:00,1,0,,
2020-02-23 00:00:00,1,0,,
2020-02-08 00:00:00,1,0,,
2020-02-03 00:00:00,1,0,,
2020-02-01 00:00:00,1,0,,
