date,cases
2021-02-20 00:00:00,898
2021-02-19 00:00:00,1325
2021-02-18 00:00:00,1596
2021-02-17 00:00:00,1663
2021-02-16 00:00:00,1822
2021-02-15 00:00:00,1699
2021-02-14 00:00:00,759
2021-02-13 00:00:00,1011
2021-02-12 00:00:00,1502
2021-02-11 00:00:00,1701
2021-02-10 00:00:00,2000
2021-02-09 00:00:00,1984
2021-02-08 00:00:00,2402
2021-02-07 00:00:00,1135
2021-02-06 00:00:00,1562
2021-02-05 00:00:00,2210
2021-02-04 00:00:00,2528
2021-02-03 00:00:00,2950
2021-02-02 00:00:00,3299
2021-02-01 00:00:00,3833
2021-01-31 00:00:00,1913
2021-01-30 00:00:00,2519
2021-01-29 00:00:00,3516
2021-01-28 00:00:00,4257
2021-01-27 00:00:00,4974
2021-01-26 00:00:00,5007
2021-01-25 00:00:00,5431
2021-01-24 00:00:00,2988
2021-01-23 00:00:00,4003
2021-01-22 00:00:00,5736
2021-01-21 00:00:00,6338
2021-01-20 00:00:00,6800
2021-01-19 00:00:00,7615
2021-01-18 00:00:00,6235
2021-01-17 00:00:00,4087
2021-01-16 00:00:00,4547
2021-01-15 00:00:00,7030
2021-01-14 00:00:00,7342
2021-01-13 00:00:00,8080
2021-01-12 00:00:00,8492
2021-01-11 00:00:00,9855
2021-01-10 00:00:00,5226
2021-01-09 00:00:00,6385
2021-01-08 00:00:00,8845
2021-01-07 00:00:00,9944
2021-01-06 00:00:00,10841
2021-01-05 00:00:00,11775
2021-01-04 00:00:00,12412
2021-01-03 00:00:00,6616
2021-01-02 00:00:00,6932
2021-01-01 00:00:00,4184
2020-12-31 00:00:00,8931
2020-12-30 00:00:00,11197
2020-12-29 00:00:00,11324
2020-12-28 00:00:00,11692
2020-12-27 00:00:00,6508
2020-12-26 00:00:00,4929
2020-12-25 00:00:00,1327
2020-12-24 00:00:00,5230
2020-12-23 00:00:00,8100
2020-12-22 00:00:00,8749
2020-12-21 00:00:00,9268
2020-12-20 00:00:00,4148
2020-12-19 00:00:00,5452
2020-12-18 00:00:00,7679
2020-12-17 00:00:00,8148
2020-12-16 00:00:00,7853
2020-12-15 00:00:00,6955
2020-12-14 00:00:00,9038
2020-12-13 00:00:00,3954
2020-12-12 00:00:00,5021
2020-12-11 00:00:00,7380
2020-12-10 00:00:00,7289
2020-12-09 00:00:00,7752
2020-12-08 00:00:00,8191
2020-12-07 00:00:00,8061
2020-12-06 00:00:00,2983
2020-12-05 00:00:00,4200
2020-12-04 00:00:00,5837
2020-12-03 00:00:00,7589
2020-12-02 00:00:00,7768
2020-12-01 00:00:00,7576
2020-11-30 00:00:00,8046
2020-11-29 00:00:00,3857
2020-11-28 00:00:00,3725
2020-11-27 00:00:00,4016
2020-11-26 00:00:00,1657
2020-11-25 00:00:00,5203
2020-11-24 00:00:00,5808
2020-11-23 00:00:00,6040
2020-11-22 00:00:00,2583
2020-11-21 00:00:00,3254
2020-11-20 00:00:00,4551
2020-11-19 00:00:00,4893
2020-11-18 00:00:00,4882
2020-11-17 00:00:00,4601
2020-11-16 00:00:00,4443
2020-11-15 00:00:00,1894
2020-11-14 00:00:00,2325
2020-11-13 00:00:00,3188
2020-11-12 00:00:00,3475
2020-11-11 00:00:00,2611
2020-11-10 00:00:00,3152
2020-11-09 00:00:00,3070
2020-11-08 00:00:00,1516
2020-11-07 00:00:00,1801
2020-11-06 00:00:00,2592
2020-11-05 00:00:00,2730
2020-11-04 00:00:00,2635
2020-11-03 00:00:00,2350
2020-11-02 00:00:00,2420
2020-11-01 00:00:00,1063
2020-10-31 00:00:00,1169
2020-10-30 00:00:00,1577
2020-10-29 00:00:00,1939
2020-10-28 00:00:00,1681
2020-10-27 00:00:00,1513
2020-10-26 00:00:00,1637
2020-10-25 00:00:00,659
2020-10-24 00:00:00,1059
2020-10-23 00:00:00,1271
2020-10-22 00:00:00,1304
2020-10-21 00:00:00,1360
2020-10-20 00:00:00,1254
2020-10-19 00:00:00,1374
2020-10-18 00:00:00,663
2020-10-17 00:00:00,741
2020-10-16 00:00:00,1015
2020-10-15 00:00:00,923
2020-10-14 00:00:00,1024
2020-10-13 00:00:00,1021
2020-10-12 00:00:00,996
2020-10-11 00:00:00,499
2020-10-10 00:00:00,544
2020-10-09 00:00:00,814
2020-10-08 00:00:00,797
2020-10-07 00:00:00,816
2020-10-06 00:00:00,840
2020-10-05 00:00:00,813
2020-10-04 00:00:00,375
2020-10-03 00:00:00,442
2020-10-02 00:00:00,683
2020-10-01 00:00:00,612
2020-09-30 00:00:00,658
2020-09-29 00:00:00,639
2020-09-28 00:00:00,661
2020-09-27 00:00:00,271
2020-09-26 00:00:00,391
2020-09-25 00:00:00,571
2020-09-24 00:00:00,555
2020-09-23 00:00:00,645
2020-09-22 00:00:00,647
2020-09-21 00:00:00,689
2020-09-20 00:00:00,307
2020-09-19 00:00:00,345
2020-09-18 00:00:00,552
2020-09-17 00:00:00,668
2020-09-16 00:00:00,745
2020-09-15 00:00:00,776
2020-09-14 00:00:00,873
2020-09-13 00:00:00,239
2020-09-12 00:00:00,353
2020-09-11 00:00:00,535
2020-09-10 00:00:00,631
2020-09-09 00:00:00,608
2020-09-08 00:00:00,722
2020-09-07 00:00:00,150
2020-09-06 00:00:00,197
2020-09-05 00:00:00,202
2020-09-04 00:00:00,423
2020-09-03 00:00:00,527
2020-09-02 00:00:00,584
2020-09-01 00:00:00,694
2020-08-31 00:00:00,734
2020-08-30 00:00:00,237
2020-08-29 00:00:00,276
2020-08-28 00:00:00,568
2020-08-27 00:00:00,587
2020-08-26 00:00:00,754
2020-08-25 00:00:00,574
2020-08-24 00:00:00,780
2020-08-23 00:00:00,264
2020-08-22 00:00:00,338
2020-08-21 00:00:00,518
2020-08-20 00:00:00,518
2020-08-19 00:00:00,921
2020-08-18 00:00:00,604
2020-08-17 00:00:00,641
2020-08-16 00:00:00,265
2020-08-15 00:00:00,466
2020-08-14 00:00:00,654
2020-08-13 00:00:00,690
2020-08-12 00:00:00,744
2020-08-11 00:00:00,989
2020-08-10 00:00:00,924
2020-08-09 00:00:00,360
2020-08-08 00:00:00,529
2020-08-07 00:00:00,987
2020-08-06 00:00:00,926
2020-08-05 00:00:00,990
2020-08-04 00:00:00,1071
2020-08-03 00:00:00,1275
2020-08-02 00:00:00,550
2020-08-01 00:00:00,754
2020-07-31 00:00:00,1177
2020-07-30 00:00:00,1726
2020-07-29 00:00:00,1330
2020-07-28 00:00:00,1670
2020-07-27 00:00:00,1690
2020-07-26 00:00:00,751
2020-07-25 00:00:00,1233
2020-07-24 00:00:00,1817
2020-07-23 00:00:00,1762
2020-07-22 00:00:00,1854
2020-07-21 00:00:00,2106
2020-07-20 00:00:00,2252
2020-07-19 00:00:00,914
2020-07-18 00:00:00,1535
2020-07-17 00:00:00,2613
2020-07-16 00:00:00,2672
2020-07-15 00:00:00,3146
2020-07-14 00:00:00,3523
2020-07-13 00:00:00,3576
2020-07-12 00:00:00,1508
2020-07-11 00:00:00,2137
2020-07-10 00:00:00,3860
2020-07-09 00:00:00,4229
2020-07-08 00:00:00,4632
2020-07-07 00:00:00,4857
2020-07-06 00:00:00,4991
2020-07-05 00:00:00,1904
2020-07-04 00:00:00,1672
2020-07-03 00:00:00,3268
2020-07-02 00:00:00,4970
2020-07-01 00:00:00,5096
2020-06-30 00:00:00,5349
2020-06-29 00:00:00,5493
2020-06-28 00:00:00,2127
2020-06-27 00:00:00,3009
2020-06-26 00:00:00,4776
2020-06-25 00:00:00,4736
2020-06-24 00:00:00,4611
2020-06-23 00:00:00,4355
2020-06-22 00:00:00,4383
2020-06-21 00:00:00,1807
2020-06-20 00:00:00,2561
2020-06-19 00:00:00,3822
2020-06-18 00:00:00,3573
2020-06-17 00:00:00,3363
2020-06-16 00:00:00,3042
2020-06-15 00:00:00,3018
2020-06-14 00:00:00,1066
2020-06-13 00:00:00,1574
2020-06-12 00:00:00,2319
2020-06-11 00:00:00,2119
2020-06-10 00:00:00,2112
2020-06-09 00:00:00,1999
2020-06-08 00:00:00,1973
2020-06-07 00:00:00,731
2020-06-06 00:00:00,875
2020-06-05 00:00:00,1449
2020-06-04 00:00:00,1464
2020-06-03 00:00:00,1366
2020-06-02 00:00:00,1342
2020-06-01 00:00:00,1185
2020-05-31 00:00:00,375
2020-05-30 00:00:00,759
2020-05-29 00:00:00,920
2020-05-28 00:00:00,861
2020-05-27 00:00:00,842
2020-05-26 00:00:00,828
2020-05-25 00:00:00,326
2020-05-24 00:00:00,275
2020-05-23 00:00:00,380
2020-05-22 00:00:00,559
2020-05-21 00:00:00,565
2020-05-20 00:00:00,555
2020-05-19 00:00:00,475
2020-05-18 00:00:00,567
2020-05-17 00:00:00,130
2020-05-16 00:00:00,485
2020-05-15 00:00:00,598
2020-05-14 00:00:00,497
2020-05-13 00:00:00,426
2020-05-12 00:00:00,514
2020-05-11 00:00:00,545
2020-05-10 00:00:00,186
2020-05-09 00:00:00,428
2020-05-08 00:00:00,405
2020-05-07 00:00:00,473
2020-05-06 00:00:00,440
2020-05-05 00:00:00,467
2020-05-04 00:00:00,490
2020-05-03 00:00:00,164
2020-05-02 00:00:00,303
2020-05-01 00:00:00,370
2020-04-30 00:00:00,422
2020-04-29 00:00:00,405
2020-04-28 00:00:00,400
2020-04-27 00:00:00,450
2020-04-26 00:00:00,143
2020-04-25 00:00:00,167
2020-04-24 00:00:00,337
2020-04-23 00:00:00,225
2020-04-22 00:00:00,260
2020-04-21 00:00:00,246
2020-04-20 00:00:00,420
2020-04-19 00:00:00,120
2020-04-18 00:00:00,149
2020-04-17 00:00:00,258
2020-04-16 00:00:00,269
2020-04-15 00:00:00,228
2020-04-14 00:00:00,251
2020-04-13 00:00:00,277
2020-04-12 00:00:00,95
2020-04-11 00:00:00,104
2020-04-10 00:00:00,197
2020-04-09 00:00:00,232
2020-04-08 00:00:00,213
2020-04-07 00:00:00,196
2020-04-06 00:00:00,269
2020-04-05 00:00:00,105
2020-04-04 00:00:00,119
2020-04-03 00:00:00,201
2020-04-02 00:00:00,171
2020-04-01 00:00:00,194
2020-03-31 00:00:00,169
2020-03-30 00:00:00,196
2020-03-29 00:00:00,83
2020-03-28 00:00:00,114
2020-03-27 00:00:00,159
2020-03-26 00:00:00,175
2020-03-25 00:00:00,177
2020-03-24 00:00:00,147
2020-03-23 00:00:00,170
2020-03-22 00:00:00,55
2020-03-21 00:00:00,49
2020-03-20 00:00:00,121
2020-03-19 00:00:00,69
2020-03-18 00:00:00,72
2020-03-17 00:00:00,88
2020-03-16 00:00:00,53
2020-03-15 00:00:00,16
2020-03-14 00:00:00,14
2020-03-13 00:00:00,12
2020-03-12 00:00:00,14
2020-03-11 00:00:00,4
2020-03-10 00:00:00,2
2020-03-09 00:00:00,2
2020-03-06 00:00:00,3
2020-03-05 00:00:00,1
2020-03-04 00:00:00,1
2020-03-03 00:00:00,1
2020-03-02 00:00:00,2
2020-03-01 00:00:00,2
2020-02-09 00:00:00,1
2020-01-28 00:00:00,1
2020-01-23 00:00:00,1
2020-01-22 00:00:00,1
