date,La Paz_cume,La Paz
2020-12-21,10,
2020-12-22,29,19
2020-12-23,42,13
2020-12-28,45,3
2020-12-29,47,2
2020-12-30,64,17
2020-12-31,69,5
2021-01-04,72,3
2021-01-05,74,2
2021-01-06,105,31
2021-01-07,161,56
2021-01-11,165,4
2021-01-12,174,9
2021-01-13,334,160
2021-01-14,342,8
2021-01-15,348,6
2021-01-16,351,3
2021-01-17,353,2
2021-01-18,365,12
2021-01-19,390,25
2021-01-20,467,77
2021-01-21,479,12
2021-01-22,484,5
2021-01-23,489,5
2021-01-24,490,1
2021-01-25,522,32
2021-01-26,548,26
2021-01-27,921,373
2021-01-28,1337,416
2021-01-29,1362,25
2021-01-30,1370,8
2021-01-31,1379,9
2021-02-01,1406,27
2021-02-02,1436,30
2021-02-03,1905,469
2021-02-04,2057,152
2021-02-05,2099,42
2021-02-06,2103,4
2021-02-07,2108,5
2021-02-08,2146,38
2021-02-09,2192,46
2021-02-10,2536,344
2021-02-11,2723,187
2021-02-12,2742,19
2021-02-13,2752,10
2021-02-14,2766,14
2021-02-15,2777,11
2021-02-16,2790,13
2021-02-17,2878,88
2021-02-18,3172,294
2021-02-19,3183,11
2021-02-20,3190,7
2021-02-21,3200,10
2021-02-22,3228,28
2021-02-23,3265,37
2021-02-24,3587,322
2021-02-25,4016,429
2021-02-26,4049,33
2021-02-27,4061,12
2021-02-28,4073,12
2021-03-01,4132,59
2021-03-02,4197,65
2021-03-03,4694,497
2021-03-04,5194,500
2021-03-05,5238,44
2021-03-06,5251,13
2021-03-07,5261,10
2021-03-08,5315,54
2021-03-09,5396,81
2021-03-10,5810,414
2021-03-11,6183,373
2021-03-12,6244,61
2021-03-13,6268,24
2021-03-14,6278,10
2021-03-15,6333,55
2021-03-16,6386,53
2021-03-17,6720,334
2021-03-18,7056,336
2021-03-19,7092,36
2021-03-20,7103,11
2021-03-21,7113,10
2021-03-22,7164,51
2021-03-23,7217,53
2021-03-24,7534,317
