date,vents_in_use,vents_available
2020-03-26,233,889
2020-03-27,276,1081
2020-03-28,310,1142
2020-03-29,335,1194
2020-03-30,328,1186
2020-03-31,362,1183
2020-04-01,369,1172
2020-04-02,379,1156
2020-04-03,377,1185
2020-04-04,401,1150
2020-04-05,381,1135
2020-04-06,379,1125
2020-04-07,383,1127
2020-04-08,369,1072
2020-04-09,369,1117
2020-04-10,376,1123
2020-04-11,365,1174
2020-04-12,366,1195
2020-04-13,405,1198
2020-04-14,483,1259
2020-04-15,494,1249
2020-04-16,485,1190
2020-04-17,487,1188
2020-04-18,470,1196
2020-04-19,457,1189
2020-04-20,490,1192
2020-04-21,498,1186
2020-04-22,504,1193
2020-04-23,492,1231
2020-04-24,482,1231
2020-04-25,495,1224
2020-04-26,481,1223
2020-04-27,492,1226
2020-04-28,505,1183
2020-04-29,517,1184
2020-04-30,527,1213
2020-05-01,519,1221
2020-05-02,497,1233
2020-05-03,502,1215
2020-05-04,508,1212
2020-05-05,569,1163
2020-05-06,519,1190
2020-05-07,511,1236
2020-05-08,516,1249
2020-05-09,544,1192
2020-05-10,541,1194
2020-05-11,533,1212
2020-05-12,553,1224
2020-05-13,560,1215
2020-05-14,566,1233
2020-05-15,556,1217
2020-05-16,540,1213
2020-05-17,530,1198
2020-05-18,549,1213
2020-05-19,575,1163
2020-05-20,575,1147
2020-05-21,604,1157
2020-05-22,585,1213
2020-05-23,595,1183
2020-05-24,583,1182
2020-05-25,582,1202
2020-05-26,577,1204
2020-05-27,583,1211
2020-05-28,603,1178
2020-05-29,605,1243
2020-05-30,606,1244
2020-05-31,615,1234
2020-06-01,612,1221
2020-06-02,585,1181
2020-06-03,607,1212
2020-06-04,620,1207
2020-06-05,614,1220
2020-06-06,612,1196
2020-06-07,626,1150
2020-06-08,641,1192
2020-06-09,679,1151
2020-06-10,671,1096
2020-06-11,682,1083
2020-06-12,652,1157
2020-06-13,651,1125
2020-06-14,685,1114
2020-06-15,707,1138
2020-06-16,714,1133
2020-06-17,729,1085
2020-06-18,726,986
2020-06-19,744,978
2020-06-20,724,1015
2020-06-21,726,1009
2020-06-22,716,1043
2020-06-23,760,967
2020-06-24,779,900
2020-06-25,780,948
2020-06-26,783,951
2020-06-27,750,938
2020-06-28,763,940
2020-06-29,773,945
2020-06-30,795,950
2020-07-01,819,949
2020-07-02,807,917
2020-07-03,816,900
2020-07-04,871,913
2020-07-05,857,906
2020-07-06,895,874
2020-07-07,929,828
2020-07-08,920,834
2020-07-09,944,898
2020-07-10,957,929
2020-07-11,926,950
2020-07-12,949,910
2020-07-13,996,916
2020-07-14,1009,945
2020-07-15,1012,890
2020-07-16,1030,877
2020-07-17,979,940
2020-07-18,951,974
2020-07-19,963,999
2020-07-20,952,978
2020-07-21,994,950
2020-07-22,987,957
2020-07-23,921,979
2020-07-24,925,1019
2020-07-25,901,1047
2020-07-26,902,1040
2020-07-27,920,1029
2020-07-28,922,987
2020-07-29,905,1026
2020-07-30,858,1068
2020-07-31,844,1091
2020-08-01,815,1146
2020-08-02,812,1153
2020-08-03,795,1149
2020-08-04,806,1154
2020-08-05,796,1142
2020-08-06,770,1180
2020-08-07,766,1181
2020-08-08,724,1221
2020-08-09,703,1246
2020-08-10,692,1232
2020-08-11,679,1245
2020-08-12,708,1227
2020-08-13,689,1237
2020-08-14,645,1317
2020-08-15,643,1317
2020-08-16,619,1339
2020-08-17,629,1299
2020-08-18,606,1290
2020-08-19,602,1312
2020-08-20,568,1298
2020-08-21,584,1338
2020-08-22,558,1372
2020-08-23,535,1392
2020-08-24,573,1379
2020-08-25,562,1349
2020-08-26,583,1305
2020-08-27,554,1311
2020-08-28,579,1296
2020-08-29,563,1303
2020-08-30,547,1346
2020-08-31,556,1315
2020-09-01,508,1292
2020-09-02,548,1272
2020-09-03,528,1299
2020-09-04,526,1372
2020-09-05,526,1367
2020-09-06,545,1346
2020-09-07,541,1328
2020-09-08,525,1341
2020-09-09,536,1331
2020-09-10,516,1357
2020-09-11,500,1355
2020-09-12,478,1399
2020-09-13,483,1403
2020-09-14,460,1414
2020-09-15,475,1429
2020-09-16,459,1394
2020-09-17,485,1380
2020-09-18,464,1417
2020-09-19,444,1408
2020-09-20,408,1450
2020-09-21,438,1428
2020-09-22,452,1412
2020-09-23,448,1422
2020-09-24,448,1393
2020-09-25,464,1356
2020-09-26,435,1398
2020-09-27,429,1376
2020-09-28,438,1383
2020-09-29,421,1397
2020-09-30,413,1412
2020-10-01,418,1375
2020-10-02,435,1399
2020-10-03,443,1385
2020-10-04,424,1392
2020-10-05,410,1425
2020-10-06,426,1418
2020-10-07,437,1389
2020-10-08,441,1384
2020-10-09,453,1385
2020-10-10,440,1381
2020-10-11,458,1394
2020-10-12,496,1404
2020-10-13,458,1379
2020-10-14,455,1399
2020-10-15,469,1364
2020-10-16,476,1364
2020-10-17,470,1363
2020-10-18,464,1390
2020-10-19,463,1391
2020-10-20,468,1390
2020-10-21,476,1402
2020-10-22,483,1397
2020-10-23,514,1344
2020-10-24,531,1290
2020-10-25,538,1255
2020-10-26,524,1273
2020-10-27,515,1283
2020-10-28,514,1306
2020-10-29,503,1300
2020-10-30,500,1298
2020-10-31,515,1313
2020-11-01,524,1310
2020-11-02,508,1311
2020-11-03,532,1292
2020-11-04,557,1324
2020-11-05,574,1306
2020-11-06,556,1297
2020-11-07,570,1306
2020-11-08,571,1295
2020-11-09,571,1252
2020-11-10,592,1265
2020-11-11,604,1289
2020-11-12,609,1264
2020-11-13,603,1271
2020-11-14,597,1290
2020-11-15,590,1273
2020-11-16,608,1283
2020-11-17,613,1276
2020-11-18,678,1255
2020-11-19,673,1238
2020-11-20,682,1272
2020-11-21,683,1265
2020-11-22,718,1257
2020-11-23,739,1233
2020-11-24,771,1191
2020-11-25,752,1190
2020-11-26,752,1184
2020-11-27,769,1209
2020-11-28,787,1155
2020-11-29,787,1173
2020-11-30,825,1163
2020-12-01,850,1132
2020-12-02,856,1141
2020-12-03,868,1126
2020-12-04,904,1098
2020-12-05,922,1066
2020-12-06,916,1084
2020-12-07,950,1040
2020-12-08,921,1055
2020-12-09,951,1078
2020-12-10,972,1050
2020-12-11,959,1060
2020-12-12,980,1038
2020-12-13,990,1019
2020-12-14,994,1051
2020-12-15,1031,1016
2020-12-16,1050,1045
2020-12-17,1070,1013
2020-12-18,1088,986
2020-12-19,1022,1026
2020-12-20,1050,1010
2020-12-21,1075,988
2020-12-22,1111,1013
2020-12-23,1103,988
2020-12-24,1149,970
2020-12-25,1120,1030
