date,pcr_tests_YAVAPAI,pcr_pos_test_YAVAPAI,pcr_positivity_YAVAPAI
2021-10-11 00:00:00,659,93,0.1411229135053111
2021-10-10 00:00:00,312,51,0.1634615384615385
2021-10-09 00:00:00,290,44,0.1517241379310345
2021-10-08 00:00:00,579,50,0.0863557858376511
2021-10-07 00:00:00,639,59,0.0923317683881064
2021-10-06 00:00:00,579,78,0.1347150259067358
2021-10-05 00:00:00,831,79,0.0950661853188929
2021-10-04 00:00:00,815,82,0.1006134969325153
2021-10-03 00:00:00,304,50,0.1644736842105263
2021-10-02 00:00:00,326,40,0.1226993865030675
2021-10-01 00:00:00,622,66,0.1061093247588424
2021-09-30 00:00:00,715,74,0.1034965034965035
2021-09-29 00:00:00,638,94,0.1473354231974922
2021-09-28 00:00:00,809,70,0.0865265760197775
2021-09-27 00:00:00,816,119,0.1458333333333334
2021-09-26 00:00:00,292,47,0.1609589041095891
2021-09-25 00:00:00,327,80,0.2446483180428135
2021-09-24 00:00:00,595,70,0.1176470588235294
2021-09-23 00:00:00,649,80,0.1232665639445301
2021-09-22 00:00:00,646,81,0.1253869969040248
2021-09-21 00:00:00,729,84,0.1152263374485597
2021-09-20 00:00:00,759,93,0.1225296442687747
2021-09-19 00:00:00,287,48,0.1672473867595819
2021-09-18 00:00:00,340,60,0.1764705882352941
2021-09-17 00:00:00,624,62,0.0993589743589744
2021-09-16 00:00:00,748,63,0.0842245989304813
2021-09-15 00:00:00,696,90,0.1293103448275862
2021-09-14 00:00:00,1022,72,0.0704500978473581
2021-09-13 00:00:00,846,86,0.1016548463356974
2021-09-12 00:00:00,416,65,0.15625
2021-09-11 00:00:00,402,74,0.1840796019900498
2021-09-10 00:00:00,743,80,0.107671601615074
2021-09-09 00:00:00,751,82,0.1091877496671105
2021-09-08 00:00:00,904,120,0.1327433628318584
2021-09-07 00:00:00,1385,125,0.0902527075812274
2021-09-06 00:00:00,239,40,0.1673640167364017
2021-09-05 00:00:00,369,60,0.1626016260162602
2021-09-04 00:00:00,338,68,0.2011834319526627
2021-09-03 00:00:00,745,82,0.1100671140939597
2021-09-02 00:00:00,796,70,0.0879396984924623
2021-09-01 00:00:00,660,89,0.1348484848484849
2021-08-31 00:00:00,1109,94,0.084761045987376
2021-08-30 00:00:00,994,113,0.113682092555332
2021-08-29 00:00:00,472,61,0.1292372881355932
2021-08-28 00:00:00,349,73,0.2091690544412608
2021-08-27 00:00:00,814,84,0.1031941031941032
2021-08-26 00:00:00,866,99,0.1143187066974596
2021-08-25 00:00:00,871,99,0.113662456946039
2021-08-24 00:00:00,1056,95,0.0899621212121212
2021-08-23 00:00:00,1035,111,0.1072463768115942
2021-08-22 00:00:00,385,57,0.1480519480519481
2021-08-21 00:00:00,449,68,0.1514476614699332
2021-08-20 00:00:00,879,75,0.0853242320819113
2021-08-19 00:00:00,1019,93,0.0912659470068695
2021-08-18 00:00:00,729,90,0.1234567901234568
2021-08-17 00:00:00,1410,112,0.0794326241134752
2021-08-16 00:00:00,968,114,0.1177685950413223
2021-08-15 00:00:00,381,74,0.1942257217847769
2021-08-14 00:00:00,379,63,0.1662269129287599
2021-08-13 00:00:00,649,89,0.1371340523882897
2021-08-12 00:00:00,784,75,0.0956632653061225
2021-08-11 00:00:00,776,97,0.125
2021-08-10 00:00:00,996,126,0.1265060240963855
2021-08-09 00:00:00,892,105,0.117713004484305
2021-08-08 00:00:00,388,60,0.154639175257732
2021-08-07 00:00:00,336,48,0.1428571428571429
2021-08-06 00:00:00,623,80,0.1284109149277689
2021-08-05 00:00:00,677,89,0.1314623338257016
2021-08-04 00:00:00,602,72,0.1196013289036545
2021-08-03 00:00:00,904,89,0.0984513274336283
2021-08-02 00:00:00,758,73,0.0963060686015831
2021-08-01 00:00:00,380,51,0.1342105263157895
2021-07-31 00:00:00,345,57,0.1652173913043478
2021-07-30 00:00:00,666,78,0.1171171171171171
2021-07-29 00:00:00,583,53,0.0909090909090909
2021-07-28 00:00:00,533,74,0.1388367729831145
2021-07-27 00:00:00,749,77,0.102803738317757
2021-07-26 00:00:00,637,75,0.1177394034536892
2021-07-25 00:00:00,299,55,0.1839464882943144
2021-07-24 00:00:00,257,56,0.2178988326848249
2021-07-23 00:00:00,584,58,0.0993150684931507
2021-07-22 00:00:00,490,59,0.1204081632653061
2021-07-21 00:00:00,437,61,0.1395881006864989
2021-07-20 00:00:00,612,56,0.0915032679738562
2021-07-19 00:00:00,601,65,0.108153078202995
2021-07-18 00:00:00,225,39,0.1733333333333334
2021-07-17 00:00:00,227,40,0.1762114537444934
2021-07-16 00:00:00,573,68,0.118673647469459
2021-07-15 00:00:00,438,62,0.1415525114155251
2021-07-14 00:00:00,482,56,0.1161825726141079
2021-07-13 00:00:00,557,64,0.1149012567324955
2021-07-12 00:00:00,530,48,0.0905660377358491
2021-07-11 00:00:00,200,29,0.145
2021-07-10 00:00:00,248,28,0.1129032258064516
2021-07-09 00:00:00,368,33,0.0896739130434783
2021-07-08 00:00:00,378,27,0.0714285714285714
2021-07-07 00:00:00,516,37,0.0717054263565892
2021-07-06 00:00:00,585,35,0.0598290598290598
2021-07-05 00:00:00,311,31,0.0996784565916399
2021-07-04 00:00:00,110,9,0.0818181818181818
2021-07-03 00:00:00,214,15,0.0700934579439252
2021-07-02 00:00:00,423,21,0.049645390070922
2021-07-01 00:00:00,292,19,0.0650684931506849
2021-06-30 00:00:00,326,17,0.0521472392638037
2021-06-29 00:00:00,447,17,0.0380313199105145
2021-06-28 00:00:00,421,8,0.0190023752969121
2021-06-27 00:00:00,168,10,0.0595238095238095
2021-06-26 00:00:00,169,21,0.1242603550295858
2021-06-25 00:00:00,294,11,0.0374149659863946
2021-06-24 00:00:00,324,13,0.0401234567901235
2021-06-23 00:00:00,385,10,0.025974025974026
2021-06-22 00:00:00,436,12,0.0275229357798165
2021-06-21 00:00:00,405,19,0.0469135802469136
2021-06-20 00:00:00,162,8,0.0493827160493827
2021-06-19 00:00:00,169,5,0.029585798816568
2021-06-18 00:00:00,316,10,0.0316455696202532
2021-06-17 00:00:00,404,10,0.0247524752475248
2021-06-16 00:00:00,360,8,0.0222222222222222
2021-06-15 00:00:00,581,13,0.0223752151462995
2021-06-14 00:00:00,578,22,0.0380622837370242
2021-06-13 00:00:00,186,8,0.043010752688172
2021-06-12 00:00:00,189,9,0.0476190476190476
2021-06-11 00:00:00,343,7,0.0204081632653061
2021-06-10 00:00:00,421,9,0.0213776722090261
2021-06-09 00:00:00,445,19,0.0426966292134832
2021-06-08 00:00:00,528,10,0.0189393939393939
2021-06-07 00:00:00,597,16,0.0268006700167504
