date,Coconino_cume,Coconino
2020-12-01,1,
2020-12-02,2,1
2020-12-12,3,1
2020-12-15,11,8
2020-12-16,141,130
2020-12-17,266,125
2020-12-18,467,201
2020-12-19,512,45
2020-12-20,516,4
2020-12-21,524,8
2020-12-22,581,57
2020-12-23,885,304
2020-12-24,1209,324
2020-12-25,1308,99
2020-12-26,1376,68
2020-12-27,1456,80
2020-12-28,1659,203
2020-12-29,1988,329
2020-12-30,2414,426
2020-12-31,2644,230
2021-01-01,2752,108
2021-01-02,2827,75
2021-01-03,2832,5
2021-01-04,3176,344
2021-01-05,3540,364
2021-01-06,3977,437
2021-01-07,4569,592
2021-01-08,5168,599
2021-01-09,5266,98
2021-01-10,5275,9
2021-01-11,5640,365
2021-01-12,6198,558
2021-01-13,6758,560
2021-01-14,7421,663
2021-01-15,8560,1139
2021-01-16,8731,171
2021-01-17,8767,36
2021-01-18,9094,327
2021-01-19,9688,594
2021-01-20,11237,1549
2021-01-21,12159,922
2021-01-22,13142,983
2021-01-23,13635,493
2021-01-24,13667,32
2021-01-25,14385,718
2021-01-26,15085,700
2021-01-27,16526,1441
2021-01-28,17957,1431
2021-01-29,19018,1061
2021-01-30,19387,369
2021-01-31,19434,47
2021-02-01,20551,1117
2021-02-02,21519,968
2021-02-03,23288,1769
2021-02-04,25425,2137
2021-02-05,27669,2244
2021-02-06,29363,1694
2021-02-07,29455,92
2021-02-08,30565,1110
2021-02-09,31655,1090
2021-02-10,34461,2806
2021-02-11,36147,1686
2021-02-12,38819,2672
2021-02-13,40428,1609
2021-02-14,40499,71
2021-02-15,41796,1297
2021-02-16,43617,1821
2021-02-17,46320,2703
2021-02-18,47476,1156
2021-02-19,48840,1364
2021-02-20,49845,1005
2021-02-21,49877,32
2021-02-22,50407,530
2021-02-23,51152,745
2021-02-24,53310,2158
2021-02-25,55193,1883
2021-02-26,57036,1843
2021-02-27,58752,1716
2021-02-28,58883,131
2021-03-01,60744,1861
2021-03-02,62559,1815
2021-03-03,64383,1824
2021-03-04,66550,2167
2021-03-05,68332,1782
2021-03-06,69275,943
2021-03-07,69390,115
2021-03-08,70546,1156
2021-03-09,71610,1064
2021-03-10,74501,2891
2021-03-11,76464,1963
2021-03-12,79012,2548
2021-03-13,80248,1236
2021-03-14,80349,101
2021-03-15,81676,1327
2021-03-16,83566,1890
2021-03-17,85277,1711
2021-03-18,86613,1336
2021-03-19,88037,1424
2021-03-20,88955,918
2021-03-21,89045,90
2021-03-22,89819,774
2021-03-23,91259,1440
2021-03-24,92829,1570
2021-03-25,94532,1703
2021-03-26,96498,1966
2021-03-27,97045,547
2021-03-28,97199,154
2021-03-29,98809,1610
2021-03-30,100404,1595
2021-03-31,101982,1578
2021-04-01,103278,1296
2021-04-02,104674,1396
2021-04-03,105193,519
2021-04-04,105288,95
2021-04-05,106132,844
2021-04-06,107325,1193
2021-04-07,108346,1021
2021-04-08,109579,1233
2021-04-09,110777,1198
2021-04-10,111344,567
2021-04-11,111457,113
2021-04-12,111983,526
2021-04-13,112853,870
2021-04-14,113787,934
2021-04-15,114689,902
2021-04-16,115772,1083
2021-04-17,116113,341
2021-04-18,116193,80
2021-04-19,117168,975
2021-04-20,118093,925
2021-04-21,119023,930
2021-04-22,119990,967
2021-04-23,121103,1113
2021-04-24,121463,360
2021-04-25,121635,172
2021-04-26,122230,595
2021-04-27,123054,824
2021-04-28,123875,821
2021-04-29,124659,784
2021-04-30,125430,771
2021-05-01,125839,409
2021-05-02,125936,97
2021-05-03,126386,450
2021-05-04,126959,573
2021-05-05,127562,603
2021-05-06,127994,432
2021-05-07,128614,620
2021-05-08,128828,214
2021-05-09,128915,87
2021-05-10,129392,477
2021-05-11,129701,309
2021-05-12,130177,476
2021-05-13,130973,796
2021-05-14,132062,1089
2021-05-15,132523,461
2021-05-16,132603,80
2021-05-17,133111,508
2021-05-18,133462,351
2021-05-19,134137,675
2021-05-20,134580,443
2021-05-21,135166,586
2021-05-22,135554,388
2021-05-23,135623,69
2021-05-24,135850,227
2021-05-25,136077,227
2021-05-26,136638,561
2021-05-27,136929,291
2021-05-28,137388,459
2021-05-29,137519,131
2021-05-30,137567,48
2021-05-31,137602,35
2021-06-01,137817,215
2021-06-02,138300,483
2021-06-03,138699,399
2021-06-04,139349,650
2021-06-05,139685,336
2021-06-06,139748,63
2021-06-07,140056,308
2021-06-08,140241,185
2021-06-09,140916,675
2021-06-10,141267,351
2021-06-11,141762,495
2021-06-12,141954,192
2021-06-13,141996,42
2021-06-14,142356,360
2021-06-15,142516,160
2021-06-16,142888,372
2021-06-17,143123,235
2021-06-18,143443,320
2021-06-19,143602,159
2021-06-20,143648,46
2021-06-21,143792,144
2021-06-22,143927,135
2021-06-23,144229,302
2021-06-24,144413,184
2021-06-25,144701,288
2021-06-26,144806,105
2021-06-27,144858,52
2021-06-28,145053,195
2021-06-29,145195,142
2021-06-30,145450,255
2021-07-01,145607,157
2021-07-02,145881,274
2021-07-03,145968,87
2021-07-04,145978,10
2021-07-05,146065,87
2021-07-06,146223,158
2021-07-07,146472,249
2021-07-08,146618,146
2021-07-09,146840,222
2021-07-10,147038,198
2021-07-11,147069,31
2021-07-12,147239,170
2021-07-13,147362,123
2021-07-14,147542,180
2021-07-15,147753,211
2021-07-16,148012,259
2021-07-17,148108,96
2021-07-18,148149,41
2021-07-19,148331,182
2021-07-20,148516,185
2021-07-21,148737,221
2021-07-22,148909,172
2021-07-23,149130,221
2021-07-24,149249,119
2021-07-25,149299,50
2021-07-26,149526,227
2021-07-27,149698,172
2021-07-28,149971,273
2021-07-29,150183,212
2021-07-30,150460,277
2021-07-31,150586,126
2021-08-01,150647,61
2021-08-02,150907,260
2021-08-03,151107,200
2021-08-04,151430,323
2021-08-05,151627,197
2021-08-06,151944,317
2021-08-07,152280,336
2021-08-08,152346,66
2021-08-09,152557,211
2021-08-10,152709,152
2021-08-11,153003,294
2021-08-12,153265,262
2021-08-13,153552,287
2021-08-14,153704,152
2021-08-15,153800,96
2021-08-16,154013,213
2021-08-17,154192,179
2021-08-18,154518,326
2021-08-19,154770,252
2021-08-20,155049,279
2021-08-21,155212,163
2021-08-22,155265,53
2021-08-23,155504,239
2021-08-24,155720,216
2021-08-25,155990,270
2021-08-26,156241,251
2021-08-27,156581,340
2021-08-28,156742,161
2021-08-29,156833,91
2021-08-30,157023,190
2021-08-31,157177,154
2021-09-01,157429,252
2021-09-02,157575,146
2021-09-03,157831,256
2021-09-04,157935,104
2021-09-05,157991,56
2021-09-06,158009,18
2021-09-07,158216,207
2021-09-08,158431,215
2021-09-09,158585,154
2021-09-10,158754,169
2021-09-11,159006,252
2021-09-12,159106,100
2021-09-13,159269,163
2021-09-14,159423,154
2021-09-15,159607,184
2021-09-16,159744,137
2021-09-17,159954,210
2021-09-18,160097,143
2021-09-19,160193,96
2021-09-20,160279,86
2021-09-21,160404,125
2021-09-22,160589,185
2021-09-23,160719,130
2021-09-24,160908,189
2021-09-25,161092,184
2021-09-26,161176,84
2021-09-27,161327,151
2021-09-28,161502,175
2021-09-29,161802,300
2021-09-30,162093,291
2021-10-01,162477,384
2021-10-02,162725,248
2021-10-03,162818,93
2021-10-04,163044,226
2021-10-05,163282,238
2021-10-06,163552,270
2021-10-07,163867,315
2021-10-08,164141,274
2021-10-09,164241,100
2021-10-10,164299,58
2021-10-11,164388,89
2021-10-12,164506,118
2021-10-13,164705,199
2021-10-14,164870,165
2021-10-15,165095,225
2021-10-16,165163,68
2021-10-17,165223,60
2021-10-18,165394,171
2021-10-19,165564,170
2021-10-20,165787,223
2021-10-21,165932,145
2021-10-22,166471,539
2021-10-23,166795,324
2021-10-24,166977,182
2021-10-25,167576,599
2021-10-26,168156,580
2021-10-27,169054,898
2021-10-28,169658,604
2021-10-29,170649,991
2021-10-30,171113,464
2021-10-31,171297,184
2021-11-01,171757,460
2021-11-02,172174,417
2021-11-03,172803,629
2021-11-04,173174,371
2021-11-05,173771,597
