date,20-34_Pinal,35-44_Pinal,45-54_Pinal,55-64_Pinal,65+_Pinal,<20_Pinal
1/1/2021,647,991,932,749,507,5
1/10/2021,1198,1725,1717,1463,2255,16
1/11/2021,1248,1809,1803,1528,2433,20
1/12/2021,1339,1926,1922,1628,2714,21
1/13/2021,1451,2067,2070,1805,3120,24
1/14/2021,1551,2255,2226,1953,3642,25
1/15/2021,1674,2411,2402,2090,4015,27
1/16/2021,1735,2502,2500,2182,4631,30
1/17/2021,1754,2534,2543,2217,4685,30
1/18/2021,1819,2649,2611,2309,4903,31
1/19/2021,1893,2725,2694,2393,5406,34
1/2/2021,730,1109,1057,856,585,7
1/20/2021,1969,2854,2802,2516,6174,39
1/21/2021,2065,2988,2973,2684,6921,43
1/22/2021,2214,3157,3158,2870,7675,47
1/23/2021,2300,3323,3319,3025,8267,50
1/24/2021,2337,3357,3379,3055,8428,52
1/25/2021,2418,3425,3471,3178,9022,55
1/26/2021,2494,3512,3563,3293,9592,56
1/27/2021,2609,3636,3726,3480,10316,58
1/28/2021,2685,3754,3846,3631,11326,59
1/29/2021,2796,3880,3983,3822,12322,69
1/3/2021,759,1155,1101,879,607,7
1/30/2021,2867,3972,4118,3979,13103,72
1/31/2021,2903,3995,4150,4010,13253,74
1/4/2021,826,1253,1193,966,835,8
1/5/2021,922,1364,1279,1063,1065,9
1/6/2021,1037,1491,1409,1185,1329,11
1/7/2021,1099,1583,1521,1285,1665,13
1/8/2021,1153,1667,1657,1416,2098,15
1/9/2021,1187,1710,1702,1452,2234,16
12/1/2020,,,1,,1,
12/10/2020,,,1,,2,
12/11/2020,,,1,,2,
12/12/2020,,,1,,2,
12/13/2020,,,1,,2,
12/14/2020,,,1,,2,
12/15/2020,,,1,,2,
12/16/2020,1,1,4,,2,
12/17/2020,9,13,15,4,4,
12/18/2020,19,22,23,9,5,
12/19/2020,23,31,29,14,8,
12/2/2020,,,1,,1,
12/20/2020,23,35,30,17,9,
12/21/2020,49,82,74,34,21,1
12/22/2020,108,154,130,80,36,1
12/23/2020,168,246,236,156,69,2
12/24/2020,185,265,253,170,71,2
12/25/2020,185,265,253,170,71,2
12/26/2020,242,363,329,227,94,3
12/27/2020,258,392,345,238,96,3
12/28/2020,321,506,475,334,132,3
12/29/2020,429,673,635,473,184,4
12/3/2020,,,1,,1,
12/30/2020,565,894,824,652,310,4
12/31/2020,644,987,928,744,482,5
12/4/2020,,,1,,1,
12/5/2020,,,1,,1,
12/6/2020,,,1,,1,
12/7/2020,,,1,,1,
12/8/2020,,,1,,1,
12/9/2020,,,1,,2,
2/1/2021,2983,4098,4243,4115,14081,80
2/10/2021,3706,4893,5154,5400,24362,114
2/11/2021,3776,4959,5236,5541,26108,117
2/12/2021,3879,5070,5373,5734,28130,123
2/13/2021,4079,5309,5638,5966,29603,135
2/14/2021,4108,5350,5687,6023,29950,136
2/15/2021,4157,5393,5736,6109,30733,141
2/16/2021,4233,5461,5784,6187,31740,150
2/17/2021,4315,5516,5841,6283,32776,156
2/18/2021,4387,5574,5899,6344,33903,169
2/19/2021,4457,5644,5967,6417,34534,178
2/2/2021,3056,4191,4362,4274,15001,80
2/20/2021,4597,5736,6055,6490,35033,198
2/21/2021,4609,5749,6067,6513,35309,199
2/22/2021,4642,5789,6093,6569,35725,203
2/23/2021,4681,5829,6142,6634,36322,205
2/24/2021,4736,5895,6199,6706,37329,210
2/25/2021,4822,5988,6293,6897,38963,218
2/26/2021,4908,6076,6389,7071,40758,224
2/27/2021,4957,6109,6435,7151,41295,226
2/28/2021,4969,6122,6459,7204,41655,226
2/3/2021,3171,4337,4492,4416,16029,83
2/4/2021,3246,4437,4604,4541,17061,88
2/5/2021,3403,4592,4779,4732,18122,92
2/6/2021,3462,4670,4870,4891,19495,100
