date,Greenlee_cume,Greenlee
2020-12-21 00:00:00,20,
2020-12-22 00:00:00,50,30
2020-12-23 00:00:00,60,10
2020-12-24 00:00:00,70,10
2020-12-29 00:00:00,80,10
2020-12-30 00:00:00,100,20
2020-12-31 00:00:00,133,33
2021-01-05 00:00:00,152,19
2021-01-06 00:00:00,172,20
2021-01-07 00:00:00,212,40
2021-01-08 00:00:00,233,21
2021-01-09 00:00:00,234,1
2021-01-12 00:00:00,276,42
2021-01-13 00:00:00,330,54
2021-01-14 00:00:00,412,82
2021-01-18 00:00:00,443,31
2021-01-19 00:00:00,485,42
2021-01-20 00:00:00,518,33
2021-01-21 00:00:00,812,294
2021-01-22 00:00:00,1028,216
2021-01-23 00:00:00,1453,425
2021-01-24 00:00:00,1464,11
2021-01-25 00:00:00,1520,56
2021-01-27 00:00:00,1623,103
2021-01-28 00:00:00,1988,365
2021-01-29 00:00:00,2144,156
2021-02-01 00:00:00,2170,26
2021-02-02 00:00:00,2248,78
2021-02-03 00:00:00,2282,34
2021-02-04 00:00:00,2367,85
2021-02-05 00:00:00,2561,194
2021-02-08 00:00:00,2583,22
2021-02-09 00:00:00,2637,54
2021-02-10 00:00:00,2795,158
2021-02-11 00:00:00,3048,253
2021-02-12 00:00:00,3399,351
2021-02-15 00:00:00,3452,53
2021-02-16 00:00:00,3558,106
2021-02-17 00:00:00,3730,172
2021-02-18 00:00:00,4056,326
2021-02-22 00:00:00,4127,71
2021-02-23 00:00:00,4478,351
2021-02-24 00:00:00,4697,219
2021-02-25 00:00:00,4882,185
2021-02-26 00:00:00,5076,194
2021-02-28 00:00:00,5092,16
2021-03-01 00:00:00,5102,10
2021-03-02 00:00:00,5280,178
2021-03-03 00:00:00,5389,109
2021-03-04 00:00:00,5456,67
2021-03-05 00:00:00,5646,190
2021-03-08 00:00:00,5701,55
2021-03-09 00:00:00,5806,105
2021-03-10 00:00:00,5946,140
2021-03-11 00:00:00,6088,142
2021-03-12 00:00:00,6321,233
2021-03-15 00:00:00,6482,161
2021-03-16 00:00:00,6513,31
2021-03-17 00:00:00,6587,74
2021-03-18 00:00:00,6622,35
2021-03-19 00:00:00,6683,61
2021-03-22 00:00:00,6690,7
2021-03-23 00:00:00,6706,16
2021-03-24 00:00:00,6726,20
2021-03-25 00:00:00,6772,46
2021-03-26 00:00:00,6834,62
2021-03-28 00:00:00,6844,10
