date,La Paz_cume,La Paz
2020-12-21 00:00:00,30,
2020-12-22 00:00:00,70,40
2020-12-23 00:00:00,88,18
2020-12-30 00:00:00,110,22
2021-01-06 00:00:00,150,40
2021-01-07 00:00:00,210,60
2021-01-11 00:00:00,211,1
2021-01-13 00:00:00,397,186
2021-01-14 00:00:00,398,1
2021-01-19 00:00:00,441,43
2021-01-20 00:00:00,550,109
2021-01-25 00:00:00,572,22
2021-01-26 00:00:00,595,23
2021-01-27 00:00:00,1133,538
2021-01-28 00:00:00,1783,650
2021-01-29 00:00:00,1805,22
2021-01-30 00:00:00,1806,1
2021-02-01 00:00:00,1832,26
2021-02-02 00:00:00,1866,34
2021-02-03 00:00:00,2565,699
2021-02-04 00:00:00,2738,173
2021-02-05 00:00:00,2791,53
2021-02-06 00:00:00,2792,1
2021-02-08 00:00:00,2835,43
2021-02-09 00:00:00,2872,37
2021-02-10 00:00:00,3448,576
2021-02-11 00:00:00,3653,205
2021-02-16 00:00:00,3654,1
2021-02-17 00:00:00,3747,93
2021-02-18 00:00:00,4266,519
2021-02-19 00:00:00,4267,1
2021-02-22 00:00:00,4300,33
2021-02-23 00:00:00,4323,23
2021-02-24 00:00:00,4655,332
2021-02-25 00:00:00,5307,652
2021-02-26 00:00:00,5329,22
2021-03-01 00:00:00,5399,70
2021-03-02 00:00:00,5473,74
2021-03-03 00:00:00,6226,753
2021-03-04 00:00:00,6939,713
2021-03-05 00:00:00,6995,56
2021-03-06 00:00:00,7017,22
2021-03-08 00:00:00,7074,57
2021-03-09 00:00:00,7160,86
2021-03-10 00:00:00,7827,667
2021-03-11 00:00:00,8441,614
2021-03-12 00:00:00,8497,56
2021-03-13 00:00:00,8505,8
2021-03-15 00:00:00,8550,45
2021-03-16 00:00:00,8607,57
2021-03-17 00:00:00,9075,468
2021-03-18 00:00:00,9655,580
2021-03-19 00:00:00,9703,48
2021-03-22 00:00:00,9749,46
2021-03-23 00:00:00,9810,61
2021-03-24 00:00:00,10155,345
2021-03-25 00:00:00,10616,461
2021-03-26 00:00:00,10618,2
