date,Greenlee_cume,Greenlee
2020-12-18,2,
2020-12-21,16,14
2020-12-22,42,26
2020-12-23,49,7
2020-12-24,53,4
2020-12-26,54,1
2020-12-28,56,2
2020-12-29,64,8
2020-12-30,85,21
2020-12-31,115,30
2021-01-01,117,2
2021-01-04,118,1
2021-01-05,140,22
2021-01-06,155,15
2021-01-07,193,38
2021-01-08,209,16
2021-01-09,210,1
2021-01-12,249,39
2021-01-13,289,40
2021-01-14,352,63
2021-01-15,367,15
2021-01-16,368,1
2021-01-18,393,25
2021-01-19,430,37
2021-01-20,462,32
2021-01-21,709,247
2021-01-22,898,189
2021-01-23,1253,355
2021-01-24,1261,8
2021-01-25,1306,45
2021-01-26,1310,4
2021-01-27,1390,80
2021-01-28,1639,249
2021-01-29,1773,134
2021-01-30,1775,2
2021-02-01,1803,28
2021-02-02,1873,70
2021-02-03,1906,33
2021-02-04,1989,83
2021-02-05,2141,152
2021-02-06,2144,3
2021-02-08,2162,18
2021-02-09,2200,38
2021-02-10,2300,100
2021-02-11,2442,142
2021-02-12,2633,191
2021-02-13,2638,5
2021-02-15,2676,38
2021-02-16,2755,79
2021-02-17,2901,146
2021-02-18,3157,256
2021-02-19,3163,6
2021-02-20,3165,2
2021-02-22,3225,60
2021-02-23,3533,308
2021-02-24,3691,158
2021-02-25,3818,127
2021-02-26,3971,153
2021-02-28,3986,15
2021-03-01,4015,29
2021-03-02,4165,150
2021-03-03,4216,51
2021-03-04,4257,41
2021-03-05,4398,141
2021-03-06,4399,1
2021-03-07,4400,1
2021-03-08,4439,39
2021-03-09,4511,72
2021-03-10,4592,81
2021-03-11,4657,65
2021-03-12,4770,113
2021-03-13,4776,6
2021-03-15,4886,110
2021-03-16,4911,25
2021-03-17,4966,55
2021-03-18,4989,23
2021-03-19,5027,38
2021-03-20,5028,1
2021-03-22,5034,6
2021-03-23,5049,15
2021-03-24,5059,10
2021-03-25,5100,41
2021-03-26,5150,50
2021-03-27,5154,4
2021-03-28,5163,9
2021-03-29,5172,9
2021-03-30,5226,54
2021-03-31,5237,11
2021-04-01,5297,60
2021-04-02,5324,27
2021-04-03,5325,1
2021-04-05,5340,15
2021-04-06,5365,25
2021-04-07,5382,17
2021-04-08,5438,56
2021-04-09,5476,38
2021-04-10,5479,3
2021-04-11,5480,1
2021-04-12,5525,45
2021-04-13,5540,15
2021-04-14,5557,17
2021-04-15,5583,26
2021-04-16,5615,32
2021-04-17,5616,1
2021-04-19,5618,2
2021-04-20,5635,17
2021-04-21,5642,7
2021-04-22,5673,31
2021-04-23,5676,3
2021-04-24,5679,3
2021-04-26,5683,4
2021-04-27,5714,31
2021-04-28,5722,8
2021-04-29,5731,9
2021-04-30,5752,21
2021-05-01,5755,3
2021-05-03,5756,1
2021-05-04,5774,18
2021-05-05,5783,9
2021-05-06,5797,14
2021-05-07,5800,3
2021-05-08,5802,2
2021-05-10,5818,16
2021-05-11,5819,1
2021-05-12,5837,18
2021-05-13,5856,19
2021-05-14,5862,6
2021-05-16,5865,3
2021-05-17,5867,2
2021-05-18,5880,13
2021-05-19,5885,5
2021-05-20,5908,23
2021-05-21,5939,31
2021-05-22,5952,13
2021-05-23,5953,1
2021-05-24,5955,2
2021-05-25,5972,17
2021-05-26,5975,3
2021-05-27,5985,10
2021-05-28,5996,11
2021-05-29,5998,2
2021-06-01,6015,17
2021-06-02,6017,2
2021-06-03,6030,13
2021-06-04,6035,5
2021-06-05,6036,1
2021-06-07,6039,3
2021-06-08,6045,6
2021-06-09,6048,3
2021-06-10,6055,7
2021-06-11,6058,3
2021-06-12,6065,7
2021-06-14,6067,2
2021-06-15,6080,13
2021-06-16,6083,3
2021-06-17,6102,19
2021-06-18,6106,4
2021-06-19,6110,4
2021-06-20,6111,1
2021-06-21,6114,3
2021-06-22,6123,9
2021-06-24,6126,3
2021-06-25,6133,7
2021-06-26,6135,2
2021-06-28,6137,2
2021-06-29,6149,12
2021-06-30,6150,1
2021-07-01,6161,11
2021-07-02,6165,4
2021-07-06,6168,3
2021-07-07,6173,5
2021-07-08,6182,9
2021-07-09,6185,3
2021-07-11,6187,2
2021-07-12,6197,10
2021-07-13,6199,2
2021-07-14,6202,3
2021-07-15,6210,8
2021-07-16,6211,1
2021-07-19,6214,3
2021-07-20,6229,15
2021-07-21,6232,3
2021-07-22,6243,11
2021-07-23,6261,18
2021-07-24,6264,3
2021-07-25,6267,3
2021-07-26,6276,9
2021-07-27,6282,6
2021-07-28,6290,8
2021-07-29,6315,25
2021-07-30,6323,8
2021-07-31,6326,3
2021-08-01,6327,1
2021-08-02,6334,7
2021-08-03,6347,13
2021-08-04,6361,14
2021-08-05,6377,16
2021-08-06,6387,10
2021-08-07,6392,5
2021-08-08,6394,2
2021-08-09,6409,15
2021-08-10,6424,15
2021-08-11,6430,6
2021-08-12,6476,46
2021-08-13,6497,21
2021-08-14,6502,5
2021-08-15,6503,1
2021-08-16,6521,18
2021-08-17,6561,40
2021-08-18,6579,18
2021-08-19,6614,35
2021-08-20,6663,49
2021-08-21,6762,99
2021-08-22,6763,1
2021-08-23,6789,26
2021-08-24,6808,19
2021-08-25,6828,20
2021-08-26,6874,46
2021-08-27,6905,31
2021-08-28,6912,7
2021-08-29,6913,1
2021-08-30,6951,38
2021-08-31,6977,26
2021-09-01,6992,15
2021-09-02,7011,19
2021-09-03,7037,26
2021-09-04,7039,2
2021-09-07,7056,17
2021-09-08,7076,20
2021-09-09,7121,45
2021-09-10,7152,31
2021-09-11,7217,65
2021-09-12,7218,1
2021-09-13,7229,11
