date,icu_covid,icu_non_covid,icu_empty
2020-10-16,174.0,1211,282
2020-10-15,167.0,1209,276
2020-10-14,173.0,1195,288
2020-10-13,163.0,1206,281
2020-10-12,146.0,1228,315
2020-10-11,155.0,1164,329
2020-10-10,144.0,1161,346
2020-10-09,145.0,1163,344
2020-10-08,155.0,1153,345
2020-10-07,156.0,1172,326
2020-10-06,147.0,1182,319
2020-10-05,138.0,1179,335
2020-10-04,134.0,1159,352
2020-10-03,133.0,1183,332
2020-10-02,127.0,1145,359
2020-10-01,125.0,1166,335
2020-09-30,122.0,1155,353
2020-09-29,115.0,1124,388
2020-09-28,119.0,1101,407
2020-09-27,115.0,1083,427
2020-09-26,116.0,1124,387
2020-09-25,115.0,1145,369
2020-09-24,119.0,1149,360
2020-09-23,122.0,1164,338
2020-09-22,114.0,1160,350
2020-09-21,122.0,1175,357
2020-09-20,119.0,1154,379
2020-09-19,120.0,1193,341
2020-09-18,120.0,1160,374
2020-09-17,130.0,1193,334
2020-09-16,119.0,1193,344
2020-09-15,135.0,1164,356
2020-09-14,138.0,1156,368
2020-09-13,168.0,1146,345
2020-09-12,171.0,1149,341
2020-09-11,185.0,1111,367
2020-09-10,171.0,1129,367
2020-09-09,204.0,1098,366
2020-09-08,203.0,1055,408
2020-09-07,212.0,1053,404
2020-09-06,221.0,1073,374
2020-09-05,229.0,1072,369
2020-09-04,225.0,1093,352
2020-09-03,236.0,1094,338
2020-09-02,241.0,1088,339
2020-09-01,248.0,1063,353
2020-08-31,253.0,1036,376
2020-08-30,256.0,1027,377
2020-08-29,263.0,1058,349
2020-08-28,262.0,1055,351
2020-08-27,272.0,1066,354
2020-08-26,311.0,1043,337
2020-08-25,305.0,1028,355
2020-08-24,319.0,970,389
2020-08-23,345.0,971,361
2020-08-22,329.0,990,360
2020-08-21,363.0,956,363
2020-08-20,365.0,951,371
2020-08-19,388.0,934,366
2020-08-18,414.0,944,349
2020-08-17,427.0,935,348
2020-08-16,430.0,926,345
2020-08-15,417.0,951,340
2020-08-14,442.0,889,370
2020-08-13,473.0,894,337
2020-08-12,497.0,876,340
2020-08-11,519.0,859,351
2020-08-10,510.0,857,361
2020-08-09,506.0,902,322
2020-08-08,514.0,926,289
2020-08-07,539.0,908,293
2020-08-06,565.0,898,274
2020-08-05,593.0,849,297
2020-08-04,618.0,823,307
2020-08-03,638.0,805,303
2020-08-02,628.0,822,292
2020-08-01,685.0,795,255
2020-07-31,710.0,766,255
2020-07-30,719.0,761,246
2020-07-29,758.0,720,248
2020-07-28,800.0,651,263
2020-07-27,814.0,619,272
2020-07-26,820.0,645,240
2020-07-25,837.0,635,234
2020-07-24,842.0,614,243
2020-07-23,837.0,605,249
2020-07-22,851.0,620,224
2020-07-21,870.0,595,230
2020-07-20,865.0,583,252
2020-07-19,886.0,594,213
2020-07-18,894.0,593,204
2020-07-17,894.0,612,189
2020-07-16,944.0,572,177
2020-07-15,918.0,581,187
2020-07-14,929.0,594,172
2020-07-13,970.0,528,197
2020-07-12,936.0,563,175
2020-07-11,922.0,589,178
2020-07-10,899.0,657,174
2020-07-09,876.0,614,187
2020-07-08,861.0,636,181
2020-07-07,871.0,666,145
2020-07-06,869.0,612,167
2020-07-05,839.0,611,188
2020-07-04,821.0,643,178
2020-07-03,796.0,677,171
2020-07-02,741.0,779,156
2020-07-01,723.0,760,189
2020-06-30,675.0,820,187
2020-06-29,683.0,752,224
2020-06-28,679.0,820,211
2020-06-27,666.0,815,218
2020-06-26,657.0,802,222
2020-06-25,625.0,855,209
2020-06-24,611.0,884,198
2020-06-23,581.0,891,200
2020-06-22,614.0,798,266
2020-06-21,583.0,810,269
2020-06-20,556.0,862,246
2020-06-19,546.0,859,257
2020-06-18,519.0,877,268
2020-06-17,540.0,867,259
2020-06-16,531.0,854,276
2020-06-15,502.0,805,334
2020-06-14,464.0,883,291
2020-06-13,452.0,861,344
2020-06-12,447.0,870,347
2020-06-11,429.0,899,337
2020-06-10,429.0,856,373
2020-06-09,413.0,889,355
2020-06-08,438.0,820,400
2020-06-07,390.0,802,363
2020-06-06,392.0,811,364
2020-06-05,391.0,807,369
2020-06-04,372.0,821,375
2020-06-03,375.0,927,374
2020-06-02,379.0,900,395
2020-06-01,380.0,873,419
2020-05-31,377.0,887,408
2020-05-30,376.0,903,385
2020-05-29,386.0,874,405
2020-05-28,378.0,884,411
2020-05-27,374.0,870,418
2020-05-26,376.0,880,405
2020-05-25,337.0,898,427
2020-05-24,334.0,925,406
2020-05-23,321.0,975,358
2020-05-22,309.0,987,364
2020-05-21,311.0,954,387
2020-05-20,299.0,958,398
2020-05-19,298.0,936,429
2020-05-18,318.0,903,442
2020-05-17,347.0,861,451
2020-05-16,337.0,879,454
2020-05-15,340.0,860,469
2020-05-14,312.0,877,451
2020-05-13,323.0,875,452
2020-05-12,292.0,870,482
2020-05-11,318.0,799,529
2020-05-10,297.0,888,460
2020-05-09,300.0,860,487
2020-05-08,296.0,863,489
2020-05-07,295.0,865,488
2020-05-06,288.0,838,521
2020-05-05,286.0,824,541
2020-05-04,303.0,780,567
2020-05-03,288.0,816,544
2020-05-02,282.0,813,552
2020-05-01,291.0,804,546
2020-04-30,311.0,797,546
2020-04-29,311.0,835,500
2020-04-28,312.0,772,563
2020-04-27,303.0,790,578
2020-04-26,328.0,815,519
2020-04-25,308.0,833,520
2020-04-24,313.0,838,507
2020-04-23,332.0,780,532
2020-04-22,305.0,892,465
2020-04-21,301.0,859,508
2020-04-20,290.0,795,566
2020-04-19,285.0,767,595
2020-04-18,283.0,819,545
2020-04-17,281.0,746,620
2020-04-16,285.0,710,650
2020-04-15,278.0,754,585
2020-04-14,279.0,714,616
2020-04-13,270.0,757,561
2020-04-12,274.0,742,555
2020-04-11,286.0,754,542
2020-04-10,268.0,761,557
2020-04-09,248.0,711,607
2020-04-08,155.0,837,577
2020-04-07,,978,599
2020-04-06,,1034,549
2020-04-05,,1012,563
2020-04-04,,1033,538
2020-04-03,,1048,525
2020-04-02,,1037,517
2020-04-01,,1066,498
2020-03-31,,1096,467
